,WS,NS,NW,aa_matrix,tcr
0,0.4788732993197279,0.8695814260927042,0.9003024296088207,hamming,TCR1-T
1,0.4323809523809524,0.8843448594012504,0.911970902531053,blosum62,TCR1-T
2,0.326296768707483,0.8446745021895398,0.9104670742791043,blosum30,TCR1-T
3,0.3660204081632653,0.8434881847475832,0.9298880993693024,blosum35,TCR1-T
4,0.34969387755102044,0.8442632267481891,0.9257664949920589,blosum40,TCR1-T
5,0.42201530612244903,0.8637896527031865,0.9126489988708034,blosum45,TCR1-T
6,0.4108843537414966,0.8791501969208737,0.9178896600475547,blosum50,TCR1-T
7,0.42163265306122444,0.8883725384890798,0.9168794651463825,blosum55,TCR1-T
8,0.41904761904761906,0.8773448594012503,0.9170830418537186,blosum60,TCR1-T
9,0.429795918367347,0.8867054036189375,0.9117110955043286,blosum65,TCR1-T
10,0.4431292517006803,0.884369922057892,0.9124376715598519,blosum70,TCR1-T
11,0.45375,0.8917725357349419,0.9137727400001836,blosum75,TCR1-T
12,0.44121598639455784,0.8917746839626538,0.9172264911362656,blosum80,TCR1-T
13,0.4349659863945578,0.899729571180699,0.9110429347177469,blosum85,TCR1-T
14,0.45741496598639453,0.9132696025778733,0.9142116853489034,blosum90,TCR1-T
15,0.42680272108843537,0.9032015753669889,0.9186105396274569,blosum100,TCR1-T
16,0.43338435374149664,0.9094859263543474,0.9002697173336272,pam10,TCR1-T
17,0.3951700680272109,0.9069859263543474,0.9046818259017508,pam20,TCR1-T
18,0.4166666666666667,0.8998044011126718,0.8986495175668109,pam30,TCR1-T
19,0.4319982993197279,0.9038316119970256,0.8975083129068091,pam40,TCR1-T
20,0.39,0.8934017874356218,0.9024369371230273,pam50,TCR1-T
21,0.42574829931972785,0.9014146079484426,0.8975004727937058,pam60,TCR1-T
22,0.3878316326530612,0.8876514500537057,0.9022196471031056,pam70,TCR1-T
23,0.39854591836734693,0.8788052962075519,0.8982789345157766,pam80,TCR1-T
24,0.4252040816326531,0.8809575725026851,0.8868419950976343,pam90,TCR1-T
25,0.43770408163265306,0.8941786609380594,0.886023348205679,pam100,TCR1-T
26,0.3983333333333333,0.8805549588256355,0.8991918945715938,pam110,TCR1-T
27,0.4417857142857143,0.8750549588256356,0.8989054642099754,pam120,TCR1-T
28,0.4228741496598639,0.8684733261725743,0.8899186335802878,pam130,TCR1-T
29,0.42108843537414964,0.8728338703902614,0.8817426349757177,pam140,TCR1-T
30,0.43612244897959174,0.8808882921589689,0.8841771415718785,pam150,TCR1-T
31,0.4357057823129251,0.8623338703902613,0.8812439477815417,pam160,TCR1-T
32,0.4414965986394558,0.8696944146079485,0.8768783313595343,pam170,TCR1-T
33,0.4252976190476191,0.8635277479412817,0.880704173437256,pam180,TCR1-T
34,0.42312925170068033,0.8594461152882206,0.8735947102187703,pam190,TCR1-T
35,0.4406632653061225,0.8479767275331185,0.8707476979995776,pam200,TCR1-T
36,0.43849489795918367,0.8399074471894021,0.8717941924408089,pam210,TCR1-T
37,0.42637755102040825,0.8314074471894022,0.8738350087673397,pam220,TCR1-T
38,0.41196428571428567,0.8315048335123523,0.8648178872088647,pam230,TCR1-T
39,0.4417517006802722,0.8384482635159326,0.875786926106475,pam240,TCR1-T
40,0.40871598639455786,0.8310332975295381,0.8724263818887878,pam250,TCR1-T
41,0.3812244897959184,0.838518438954529,0.8606525195773317,pam260,TCR1-T
42,0.4244642857142857,0.8217565341926244,0.8612456920690004,pam270,TCR1-T
43,0.4307142857142857,0.8170626566416039,0.8554684283969998,pam280,TCR1-T
44,0.4358843537414966,0.8170354457572502,0.8566495726495725,pam290,TCR1-T
45,0.4083928571428571,0.8208959899749374,0.8409050051869601,pam300,TCR1-T
46,0.41422619047619047,0.8282679914070892,0.8460161690857179,pam310,TCR1-T
47,0.3892261904761905,0.8290435016111708,0.8647865015101857,pam320,TCR1-T
48,0.4083928571428571,0.8323018259935552,0.8429080508046674,pam330,TCR1-T
49,0.41221938775510203,0.8146280949626814,0.8141374062445491,pam340,TCR1-T
50,0.3896428571428571,0.7970442176870749,0.8302979220028093,pam350,TCR1-T
51,0.41464285714285715,0.7994443250984605,0.824374955245256,pam360,TCR1-T
52,0.37481292517006803,0.7981403508771929,0.8190551080081155,pam370,TCR1-T
53,0.403639455782313,0.7808462640116776,0.8106295110486841,pam380,TCR1-T
54,0.4041836734693878,0.7823190531273239,0.8014230218403151,pam390,TCR1-T
55,0.40584183673469393,0.7751620672560522,0.7959814187483361,pam400,TCR1-T
56,0.39738945578231294,0.7732068082293647,0.790207799719078,pam410,TCR1-T
57,0.39738945578231294,0.7736251755763035,0.792366617092181,pam420,TCR1-T
58,0.40147108843537416,0.7711523864606571,0.7956357422861182,pam430,TCR1-T
59,0.3643537414965986,0.7653831556914262,0.7895580480505292,pam440,TCR1-T
60,0.40555272108843543,0.7714857197939905,0.7886486660791172,pam450,TCR1-T
61,0.4241751700680272,0.7696137183618387,0.7877024475107183,pam460,TCR1-T
62,0.37863945578231295,0.7602607067118345,0.7837873254564984,pam470,TCR1-T
63,0.4116751700680272,0.7667102095899088,0.7887392083689077,pam480,TCR1-T
64,0.432593537414966,0.7753671954611805,0.7940863651803501,pam490,TCR1-T
65,0.4241751700680272,0.7766733179101601,0.7912933248873099,pam500,TCR1-T
66,0.39443027210884357,0.8360877192982455,0.8717336381246156,dayhoff,TCR1-T
67,0.40096938775510205,0.8371557465091299,0.8453192734583711,gonnet,TCR1-T
