,WS,NS,NW,aa_matrix,tcr
0,0.7635,0.9186221434405073,0.7983763261909715,hamming,FLT3DY
1,0.5965,0.8825390248788418,0.8673611303731441,blosum62,FLT3DY
2,0.5153333333333333,0.8764758377058148,0.8512857792262827,blosum30,FLT3DY
3,0.6085,0.9221744427493854,0.8622781110109485,blosum35,FLT3DY
4,0.6248333333333334,0.9080068226120858,0.8647278178428064,blosum40,FLT3DY
5,0.6016666666666667,0.8976783182704235,0.8733885190578554,blosum45,FLT3DY
6,0.6035,0.8916371283390735,0.8660127302776045,blosum50,FLT3DY
7,0.5941666666666666,0.8901049010316745,0.8753994849332379,blosum55,FLT3DY
8,0.5905,0.8846223582121752,0.865221802309903,blosum60,FLT3DY
9,0.6011666666666666,0.875410401690436,0.8568381276533449,blosum65,FLT3DY
10,0.633,0.8838125582676497,0.862275789935973,blosum70,FLT3DY
11,0.6146666666666667,0.905899132438034,0.869195761967501,blosum75,FLT3DY
12,0.6286666666666666,0.8900027929947838,0.8810404483430799,blosum80,FLT3DY
13,0.6136666666666667,0.9060509943061431,0.8877583520175053,blosum85,FLT3DY
14,0.6184999999999999,0.9085806385749178,0.88320033862654,blosum90,FLT3DY
15,0.6420000000000001,0.9147133616870459,0.8794912126605491,blosum100,FLT3DY
16,0.6698333333333333,0.9191209193383105,0.8827021839293007,pam10,FLT3DY
17,0.6611666666666667,0.9084032159890283,0.8772918352094553,pam20,FLT3DY
18,0.6281666666666667,0.9052744454460703,0.8744740501891533,pam30,FLT3DY
19,0.5934999999999999,0.9070135758808527,0.8728535642465849,pam40,FLT3DY
20,0.5991666666666666,0.9103730766860059,0.8611732696915763,pam50,FLT3DY
21,0.5605,0.8942125391982373,0.8707830209031581,pam60,FLT3DY
22,0.5288333333333333,0.8911791060875729,0.8660052180847376,pam70,FLT3DY
23,0.5538333333333333,0.874341874118762,0.8639690285771522,pam80,FLT3DY
24,0.5784999999999999,0.8757700864480041,0.8591711643513703,pam90,FLT3DY
25,0.5660000000000001,0.8851602023283945,0.8605270670087604,pam100,FLT3DY
26,0.5373333333333333,0.8756559011164274,0.8560933515166926,pam110,FLT3DY
27,0.581,0.876985775951737,0.8562389435930626,pam120,FLT3DY
28,0.5656666666666668,0.8733611236314326,0.8566455458474909,pam130,FLT3DY
29,0.5193333333333333,0.8623566952900477,0.8489465883087165,pam140,FLT3DY
30,0.5333333333333333,0.8532620156561805,0.8337070841904938,pam150,FLT3DY
31,0.5495,0.852573609859079,0.8350677927251153,pam160,FLT3DY
32,0.5046666666666667,0.8483278918090132,0.8381663989244081,pam170,FLT3DY
33,0.5076666666666667,0.8501460736271949,0.8420970286387905,pam180,FLT3DY
34,0.5143333333333333,0.844459661450508,0.8323169625314935,pam190,FLT3DY
35,0.488,0.8261925509866014,0.8376827581690283,pam200,FLT3DY
36,0.4888333333333333,0.8294332917273419,0.8263205857198992,pam210,FLT3DY
37,0.4798333333333333,0.8259550308577769,0.8245263273466936,pam220,FLT3DY
38,0.4696666666666666,0.8223700872184854,0.8240623820200479,pam230,FLT3DY
39,0.49450000000000005,0.8293266089576157,0.8184139160483553,pam240,FLT3DY
40,0.5153333333333333,0.8252363932998945,0.8133129541024278,pam250,FLT3DY
41,0.4716666666666667,0.7975263408301166,0.8007762791916109,pam260,FLT3DY
42,0.45199999999999996,0.8083655105594465,0.8176484717503024,pam270,FLT3DY
43,0.48816666666666675,0.8001556950126745,0.8071350711539498,pam280,FLT3DY
44,0.5011666666666666,0.7998114921141237,0.8115111931673716,pam290,FLT3DY
45,0.5086666666666667,0.7841276610498579,0.7943744173235021,pam300,FLT3DY
46,0.4836666666666667,0.7893908189445947,0.7967596156068696,pam310,FLT3DY
47,0.4753333333333333,0.7837528074413086,0.7953769001995548,pam320,FLT3DY
48,0.4616666666666666,0.7787470432779356,0.792001017035342,pam330,FLT3DY
49,0.5119166666666666,0.7664008795044264,0.7829504811655841,pam340,FLT3DY
50,0.5048333333333332,0.7565350877192982,0.7590394602007875,pam350,FLT3DY
51,0.4715,0.7373312356979405,0.7609656442379553,pam360,FLT3DY
52,0.4741666666666666,0.7414979023646071,0.7677904810885361,pam370,FLT3DY
53,0.47266666666666657,0.7319809363659479,0.7575857160468145,pam380,FLT3DY
54,0.4816666666666666,0.7442921491805932,0.7562810022421006,pam390,FLT3DY
55,0.5170833333333333,0.7396716304925688,0.7508490126281888,pam400,FLT3DY
56,0.4691666666666666,0.7338789207868155,0.7513371799613218,pam410,FLT3DY
57,0.4956666666666666,0.7309362503756096,0.7482373409919176,pam420,FLT3DY
58,0.4916666666666666,0.7271137866074937,0.7487556822997327,pam430,FLT3DY
59,0.5187499999999999,0.7341160749370133,0.7426808030726796,pam440,FLT3DY
60,0.49416666666666653,0.7289047222800085,0.7445940719167264,pam450,FLT3DY
61,0.4878333333333333,0.7239857672838221,0.7414443924369554,pam460,FLT3DY
62,0.5355833333333334,0.7316246561727111,0.7415444394363159,pam470,FLT3DY
63,0.5083333333333333,0.7208059427224187,0.7486688105309387,pam480,FLT3DY
64,0.4836666666666666,0.7163468783949333,0.7480802013267689,pam490,FLT3DY
65,0.49733333333333335,0.7279149138216644,0.7439479944371248,pam500,FLT3DY
66,0.5178333333333333,0.8323967843962123,0.8150673400673399,dayhoff,FLT3DY
67,0.5458333333333333,0.8334919754370557,0.8183593948639715,gonnet,FLT3DY
