,WS,NS,NW,aa_matrix,tcr
0,0.7876068376068377,0.9193589743589744,0.675,hamming,YAe5-15.8
1,0.7976923076923077,0.8102564102564103,0.6083333333333333,blosum62,YAe5-15.8
2,0.7541452991452993,0.7648251748251749,0.5624999999999999,blosum30,YAe5-15.8
3,0.8163247863247864,0.8497435897435898,0.5020833333333333,blosum35,YAe5-15.8
4,0.7491452991452991,0.8015384615384615,0.6291666666666667,blosum40,YAe5-15.8
5,0.7933333333333333,0.7825641025641026,0.6291666666666667,blosum45,YAe5-15.8
6,0.7832478632478633,0.8046153846153846,0.6333333333333333,blosum50,YAe5-15.8
7,0.775897435897436,0.8074358974358974,0.6166666666666666,blosum55,YAe5-15.8
8,0.8155555555555555,0.8007692307692308,0.65,blosum60,YAe5-15.8
9,0.811965811965812,0.8341025641025641,0.6166666666666666,blosum65,YAe5-15.8
10,0.783931623931624,0.8235897435897435,0.6166666666666666,blosum70,YAe5-15.8
11,0.8017094017094017,0.836923076923077,0.6166666666666666,blosum75,YAe5-15.8
12,0.8072649572649573,0.8274358974358975,0.6666666666666667,blosum80,YAe5-15.8
13,0.8008547008547009,0.8474358974358974,0.6708333333333333,blosum85,YAe5-15.8
14,0.7964957264957265,0.8407692307692308,0.6708333333333333,blosum90,YAe5-15.8
15,0.7864957264957265,0.8512820512820513,0.6666666666666666,blosum100,YAe5-15.8
16,0.8218803418803418,0.8943822843822844,0.6583333333333333,pam10,YAe5-15.8
17,0.8308547008547009,0.8996270396270397,0.6583333333333333,pam20,YAe5-15.8
18,0.8442735042735043,0.9015501165501167,0.625,pam30,YAe5-15.8
19,0.8493162393162393,0.8414452214452213,0.625,pam40,YAe5-15.8
20,0.8442735042735043,0.858997668997669,0.5916666666666666,pam50,YAe5-15.8
21,0.8215617715617716,0.8004195804195804,0.6083333333333333,pam60,YAe5-15.8
22,0.8264102564102564,0.8209207459207459,0.6083333333333333,pam70,YAe5-15.8
23,0.8346153846153846,0.8142540792540792,0.6083333333333333,pam80,YAe5-15.8
24,0.8547008547008547,0.8114335664335665,0.6083333333333333,pam90,YAe5-15.8
25,0.8082284382284382,0.7892540792540792,0.6083333333333333,pam100,YAe5-15.8
26,0.828888888888889,0.8113053613053612,0.6083333333333333,pam110,YAe5-15.8
27,0.8422222222222222,0.8007925407925409,0.575,pam120,YAe5-15.8
28,0.846068376068376,0.8214219114219115,0.6083333333333333,pam130,YAe5-15.8
29,0.8479914529914531,0.8033449883449884,0.6083333333333333,pam140,YAe5-15.8
30,0.8416239316239317,0.7961771561771561,0.6083333333333333,pam150,YAe5-15.8
31,0.8171173271173272,0.7956526806526807,0.6416666666666666,pam160,YAe5-15.8
32,0.8036557886557887,0.7851631701631703,0.6083333333333333,pam170,YAe5-15.8
33,0.8132711732711734,0.7774708624708625,0.5583333333333333,pam180,YAe5-15.8
34,0.8234421134421135,0.7793939393939394,0.5916666666666667,pam190,YAe5-15.8
35,0.811903651903652,0.7722144522144523,0.625,pam200,YAe5-15.8
36,0.8062626262626262,0.7592773892773893,0.625,pam210,YAe5-15.8
37,0.818997668997669,0.7592773892773893,0.5916666666666667,pam220,YAe5-15.8
38,0.834980574980575,0.7846270396270396,0.6291666666666667,pam230,YAe5-15.8
39,0.8305361305361305,0.7912937062937064,0.6291666666666667,pam240,YAe5-15.8
40,0.8208780108780109,0.7989860139860141,0.6416666666666667,pam250,YAe5-15.8
41,0.8189549339549339,0.7961655011655011,0.6354166666666667,pam260,YAe5-15.8
42,0.8388267288267288,0.7807808857808858,0.6125,pam270,YAe5-15.8
43,0.8158352758352759,0.776934731934732,0.6125,pam280,YAe5-15.8
44,0.820963480963481,0.776934731934732,0.6125,pam290,YAe5-15.8
45,0.8254079254079254,0.776934731934732,0.6125,pam300,YAe5-15.8
46,0.8356643356643356,0.7884731934731934,0.6291666666666667,pam310,YAe5-15.8
47,0.8305361305361305,0.7884731934731934,0.6625,pam320,YAe5-15.8
48,0.8145104895104895,0.7884731934731934,0.66875,pam330,YAe5-15.8
49,0.8214763014763016,0.7812937062937063,0.6625,pam340,YAe5-15.8
50,0.768939393939394,0.7711655011655012,0.6458333333333333,pam350,YAe5-15.8
51,0.7593667443667443,0.7692424242424243,0.6625,pam360,YAe5-15.8
52,0.7619735819735819,0.7629603729603729,0.6458333333333333,pam370,YAe5-15.8
53,0.7399456099456099,0.7696270396270395,0.625,pam380,YAe5-15.8
54,0.7603496503496503,0.7673193473193474,0.675,pam390,YAe5-15.8
55,0.7530846930846931,0.7673193473193474,0.675,pam400,YAe5-15.8
56,0.7619735819735819,0.7762937062937063,0.625,pam410,YAe5-15.8
57,0.767016317016317,0.7762937062937063,0.5916666666666666,pam420,YAe5-15.8
58,0.7631701631701632,0.7629603729603729,0.5916666666666666,pam430,YAe5-15.8
59,0.7631701631701632,0.7629603729603729,0.625,pam440,YAe5-15.8
60,0.7581274281274281,0.7629603729603729,0.625,pam450,YAe5-15.8
61,0.7504351204351204,0.7759090909090909,0.5916666666666666,pam460,YAe5-15.8
62,0.7631701631701632,0.7629603729603729,0.5916666666666666,pam470,YAe5-15.8
63,0.7593240093240093,0.7629603729603729,0.5916666666666666,pam480,YAe5-15.8
64,0.7504351204351204,0.7643706293706294,0.575,pam490,YAe5-15.8
65,0.7587257187257187,0.7662937062937062,0.5916666666666666,pam500,YAe5-15.8
66,0.8208780108780109,0.7989860139860141,0.6416666666666667,dayhoff,YAe5-15.8
67,0.8188034188034189,0.772051282051282,0.6791666666666667,gonnet,YAe5-15.8
