,0
a3a,0.8628815628815629
TIL1383I,0.7695238095238096
TCR81-14,0.6675824175824175
18A2,0.7700617283950617
NYE-S1,0.7215909090909092
TCR6,0.73992673992674
TCR7,0.7961451247165533
A6,0.8397435897435898
T1,0.5808080808080808
FLT3DY,0.6982608695652175
A23,0.7726495726495726
TCR2-T,0.7415873015873017
R24,0.7707070707070707
868Z11,0.7847222222222222
TCR-1E6,0.7599405425492383
APN-TCR,0.6717703349282297
EWW-TCR,0.7563131313131312
A11Va,0.8357283741899127
TCR-F5,0.8996855857320973
TCR-3598-2,0.8632880844645551
MBP-TCR,0.8512820512820513
B3K508,0.725925925925926
