,0
a3a,0.9467592592592592
TIL1383I,0.7417989417989418
TCR81-14,0.8501984126984127
18A2,0.8694444444444445
NYE-S1,0.8039529914529915
TCR6,0.8368055555555557
TCR7,0.8441558441558441
A6,0.8721763085399449
T1,0.7222222222222222
FLT3DY,0.8538011695906432
A23,0.9761904761904763
TCR2-T,0.8509259259259259
R24,0.8878968253968255
868Z11,0.8220551378446116
TCR-1E6,0.8564814814814815
APN-TCR,0.83046875
EWW-TCR,0.9277777777777777
A11Va,0.8178451178451178
TCR-F5,0.8946127946127946
TCR-3598-2,0.8675720164609054
MBP-TCR,0.9818181818181818
B3K508,0.8148148148148149
