,0
a3a,0.9305555555555555
TIL1383I,0.7735449735449736
TCR81-14,0.839781746031746
18A2,0.8583333333333334
NYE-S1,0.8173076923076924
TCR6,0.8414351851851852
TCR7,0.8544372294372294
A6,0.8732782369146005
T1,0.7222222222222222
FLT3DY,0.8625730994152047
A23,0.9841269841269842
TCR2-T,0.8435185185185184
R24,0.8958333333333334
868Z11,0.7719298245614036
TCR-1E6,0.8583333333333334
APN-TCR,0.8065104166666667
EWW-TCR,0.9083333333333333
A11Va,0.8111111111111112
TCR-F5,0.8936588103254769
TCR-3598-2,0.8606584362139919
MBP-TCR,0.9760101010101011
B3K508,0.777777777777778
