,0
a3a,0.7927689594356261
TIL1383I,0.6455555555555555
TCR81-14,0.7188552188552189
18A2,0.7960714285714285
NYE-S1,0.7832532051282052
TCR6,0.7614522417153996
TCR7,0.7923553719008264
A6,0.7709904474610357
T1,0.974910394265233
FLT3DY,0.8279320987654321
A23,0.889655172413793
TCR2-T,0.7970085470085472
R24,0.8063973063973066
868Z11,0.7440476190476191
TCR-1E6,0.6672413793103448
APN-TCR,0.766025641025641
EWW-TCR,0.8162037037037037
A11Va,0.7629323538414448
TCR-F5,0.8713459628210586
TCR-3598-2,0.8707264957264957
MBP-TCR,0.9178921568627452
B3K508,0.8308080808080808
