,0
a3a,0.9490740740740741
TIL1383I,0.743915343915344
TCR81-14,0.8670634920634921
18A2,0.8768518518518519
NYE-S1,0.8349358974358975
TCR6,0.8159722222222222
TCR7,0.8679653679653679
A6,0.8176308539944904
T1,0.746031746031746
FLT3DY,0.8230994152046783
A23,0.9841269841269842
TCR2-T,0.8657407407407408
R24,0.9027777777777777
868Z11,0.7293233082706768
TCR-1E6,0.8268518518518518
APN-TCR,0.79140625
EWW-TCR,0.9078703703703703
A11Va,0.7973063973063973
TCR-F5,0.8922558922558923
TCR-3598-2,0.8654320987654321
MBP-TCR,0.9818181818181818
B3K508,0.8240740740740741
