,18A2,868Z11,A23,A6,NYE-S1,TCR2-T,TCR3,TCR6,TCR7,T1,FLT3DY
0,0.7795003356905178,0.6658730158730158,0.8242962184873951,0.7165194891515929,0.5794415711490076,0.6038980858976521,0.6277709247076023,0.6982797591566636,0.7779878542992682,0.5788375350140056,0.6355735158487451
1,0.8002354452054794,0.7265625,0.8190572151098467,0.7271275816197691,0.654106157829562,0.6886111111111112,0.6166379347731806,0.7351160100700823,0.7579238816738817,0.8148358585858585,0.6185498618394106
2,0.8169504643962847,0.6970432735261038,0.8212228101116991,0.7647609719215039,0.5932790471560526,0.7029017857142857,0.5973873412064694,0.748293731041456,0.7736676469070835,0.8197849462365592,0.6240106795406334
3,0.8295982068040891,0.7066753392510968,0.8136136807664243,0.8000733675715335,0.6381135547146563,0.7060356652949246,0.5948873348873348,0.7680047425474256,0.7884110349972527,0.8167077175697867,0.642421497584541
4,0.8538853137557026,0.7015712682379349,0.7936292270531401,0.7965091110439948,0.6802554789842926,0.7172066041945561,0.5943349939613527,0.762284419240424,0.7773721939256744,0.82369826435247,0.6806821705426357
5,0.8370411568409345,0.7068458558184586,0.783994708994709,0.7982006732006731,0.7151994762057656,0.7794744318181818,0.6066243833685695,0.7768352143352143,0.8099929248185062,0.7996632996632996,0.7144929174201327
6,0.8509942438513868,0.7307162534435262,0.7901205936920223,0.7863378605973517,0.8166963755199049,0.7880741943241943,0.6167919245505452,0.7760579845686228,0.8077518262206844,0.8055555555555557,0.750132353914367
7,0.8468364197530863,0.724791013584117,0.7826832791621525,0.7952508960573477,0.8267316778928321,0.774095111487099,0.6025740025740026,0.7622955747955747,0.8032713564628459,0.8036616161616162,0.7847429519071311
8,0.8592602157943068,0.7106027596223674,0.7998737373737373,0.7768951833607005,0.8400301464254952,0.767824074074074,0.634731182795699,0.7684592227695677,0.7830597355221158,0.7584415584415584,0.7983024691358024
9,0.8507381507381506,0.7244008714596951,0.8139577594123049,0.7569262522822894,0.8431429681429682,0.7860549943883277,0.6291210718294052,0.7724444444444445,0.7707977207977207,0.7546967257112184,0.8286512928022362
