,18A2,868Z11,A23,A6,NYE-S1,TCR2-T,TCR3,TCR6,TCR7,T1,FLT3DY
0,0.8100644841269841,0.7572284356413103,0.8240387426900585,0.760132156479405,0.6942537974093748,0.6587600303196632,0.6285407148615964,0.7003501899335233,0.7849590643274854,0.8427107959022854,0.7121913580246914
1,0.8132064694564693,0.711497712271227,0.8336179682243957,0.8083361950549449,0.7611569882488198,0.6703146089666422,0.6773861453391494,0.6973877510164308,0.8229231444883619,0.7291746396224008,0.6868277650866171
2,0.8064950150386343,0.7247868888522246,0.8436762280503185,0.7845716552088842,0.779559922138047,0.7756650499706055,0.6963799408652349,0.732579573464795,0.8205232817764786,0.8421041119860018,0.7454440235690235
3,0.8374807987711211,0.709194214876033,0.846437908496732,0.7651615951850976,0.810360206944647,0.7907380254154447,0.6831872171945701,0.7427316893401107,0.8253287765831431,0.8433145009416196,0.8111540262172285
4,0.8429731267507004,0.7799796747967479,0.8364135304659498,0.8257835947894426,0.81165759753079,0.7506957047791895,0.6797321428571429,0.7540064102564102,0.8212537947783849,0.8450815494393477,0.8019547325102881
5,0.8796990438939591,0.7799992405255564,0.8290816326530613,0.8366282051282051,0.8163369963369963,0.762719298245614,0.6926335697399527,0.7680046117546118,0.82826278659612,0.8566762926292629,0.8285885167464114
6,0.8971963032080335,0.8036193543439921,0.8467530522058273,0.8321672736566353,0.8345978391356542,0.7578828828828829,0.6938285024154589,0.774820072956719,0.8154293056253841,0.8188802922845477,0.8363127482845792
7,0.8922576895246909,0.8332661290322579,0.8400294931985073,0.842436974789916,0.8223304473304474,0.7396156472539265,0.7062205062205061,0.7942860111163057,0.8143961780929866,0.8199612403100774,0.8404580926320057
8,0.8926504629629629,0.814327485380117,0.8308869949494949,0.8405405405405405,0.8122652088589852,0.7497057438794726,0.7116458704693999,0.800986050986051,0.8384368157095429,0.8202754036087369,0.8147222222222222
9,0.9017989417989417,0.8065359477124182,0.8356454151908697,0.8280791788856305,0.8136173767752716,0.7809010396611477,0.6694521249359959,0.7973958333333334,0.8418021680216802,0.8185515873015873,0.814960058097313
