,18A2,868Z11,A23,A6,NYE-S1,TCR2-T,TCR3,TCR6,TCR7,T1,FLT3DY
0,0.8060108070592902,0.7486268818122314,0.8126413099675132,0.7489191384232309,0.7233778839170997,0.6945587562871514,0.6900556843708614,0.6987149290095784,0.7842309941520469,0.839992119779354,0.7642318244170095
1,0.8284398158013117,0.7198669386169385,0.7959429824561403,0.7178988720814856,0.6982686691697956,0.748838049485422,0.6712452107279695,0.7394096223883458,0.7358076131687242,0.8347429519071311,0.7766456582633053
2,0.8380566280566281,0.7238729925817232,0.8285845588235294,0.7601678632824349,0.757005212553341,0.748499290780142,0.6810491276400367,0.739645732689211,0.7509331090524132,0.7996500437445319,0.7452892985151051
3,0.8288398692810458,0.6936483516483517,0.8268564356435645,0.7649725274725275,0.758490852221252,0.7447779424681599,0.7121814992434938,0.7534080801860973,0.7906810451453308,0.8634081196581196,0.748652917131178
4,0.8400032066698734,0.7126132700845345,0.8213301109917651,0.7815663453961327,0.7783800060222825,0.7496843912538504,0.6977488049918424,0.7678797904604355,0.8128867366155502,0.8668861168861169,0.7837642749407455
5,0.8372852704678362,0.716483918128655,0.8146078059871164,0.7578978561121418,0.8139880664408966,0.7556980056980057,0.6878591954022988,0.769087069525666,0.8082171893147502,0.8625943905070118,0.7726252913752912
6,0.8581932773109243,0.7272376543209877,0.8181177796562412,0.7616106719367589,0.8193725640534152,0.7538126361655774,0.6934676434676433,0.7781811167227835,0.8132366520015207,0.8664302600472813,0.7945024154589372
7,0.8595299145299146,0.7369195688225538,0.8599975923919585,0.7439742958035641,0.8117539026629936,0.7310355392156863,0.6767628205128204,0.7705029239766082,0.8044021530180699,0.9885057471264367,0.750891265597148
8,0.8727530614537692,0.7777452511059068,0.8548488548488548,0.7795836779707747,0.8081886574074074,0.7126203486859225,0.687870479174827,0.7641975308641976,0.8383218344155844,0.9867663981588032,0.7015456989247312
9,0.8786613272311213,0.7821502057613169,0.8503962703962703,0.7548036758563074,0.8143613000755857,0.6956654456654455,0.708139597028486,0.7524470899470899,0.8405087397129837,0.9876543209876543,0.7409944581280788
