,0,1
a3a,0.8618514570007108,0.8410296795236979
TCR81-14,0.7191638795986623,0.7031531531531531
18A2,0.8188472893183039,0.875735992402659
NYE-S1,0.7190596440596441,0.7762401021711366
TCR6,0.760522527100271,0.8306021916155625
TCR7,0.7330543328442488,0.7961041229909154
A6,0.795711759504863,0.7941621499548329
T1,0.8514957264957266,0.8463855421686747
FLT3DY,0.7333119154708361,0.7822261072261073
A23,0.8421095436666372,0.8863738738738739
TCR2-T,0.7384920634920634,0.7293417366946778
868Z11,0.7552319168698479,0.7781376518218623
