,0,1,2,3
a3a,0.8739772019359785,0.830312048478575,0.8525150444793302,0.847969632205174
TCR81-14,0.6811734045258072,0.7582898960449981,0.7527065527065527,0.7533567909922589
18A2,0.7837268975089487,0.8427664997158284,0.8536464901219,0.8821650873281309
NYE-S1,0.6961606915840326,0.7024007286851566,0.7651532026532027,0.7919816687400981
TCR6,0.7387634993114446,0.7662466332804648,0.7650738150738151,0.7710753367003368
TCR7,0.7802779066171924,0.7864317302377004,0.7668062281409739,0.76815210932858
A6,0.7650897793051975,0.7845793324188386,0.8170093795093795,0.8120245681221291
T1,0.8595484117872179,0.8624169040835707,0.841044104410441,0.8514261387824605
FLT3DY,0.7505820105820106,0.7917738039582359,0.7874747474747474,0.7597048920578332
A23,0.7894261659466046,0.8468291404612159,0.8438286022278115,0.8380701754385965
TCR2-T,0.7379059829059829,0.723437794089968,0.7085101160629755,0.7429226416934932
868Z11,0.7350578990901572,0.756541822721598,0.7947733918128654,0.7737537801190127
