,0,1,2,3
a3a,0.7932529303497046,0.8722873738377613,0.8609535875160875,0.8573232323232324
TCR81-14,0.7346200607902736,0.726624945103206,0.7315382925139021,0.7498309668695065
18A2,0.8105363105363107,0.8485713525239218,0.8434172281675254,0.839156652734239
NYE-S1,0.6807774471974287,0.7388300548768023,0.8078068264342774,0.8306575878727304
TCR6,0.7401305097882341,0.729213154188229,0.7702659558447035,0.7947971781305115
TCR7,0.7607840874115114,0.804839208410637,0.8371508286554397,0.8533950617283951
A6,0.7129733698991444,0.7468188217457223,0.7622668054270737,0.7663034188034189
T1,0.8868514570007107,0.8822033898305084,0.8777077707770777,0.8599019607843137
FLT3DY,0.7648385626683742,0.724838653410082,0.7413876157837511,0.7808441558441558
A23,0.7844228927203064,0.8233360836083609,0.8249968422382215,0.8351841820151679
TCR2-T,0.6965912518853695,0.7388833992094862,0.751705365341729,0.7567708333333333
868Z11,0.7413538842110271,0.7381644518272426,0.7694978632478632,0.7761013496307614
