,0,1,2,3
a3a,0.8505446873801304,0.8753185386473429,0.8508971139498489,0.8650963930348259
TCR81-14,0.7332048836649826,0.7232030651340997,0.7283227410886984,0.7236851851851851
18A2,0.8027413931546722,0.8336757615603769,0.8574024024024025,0.8664837311736289
NYE-S1,0.6983081606369277,0.713659343916738,0.7973193473193474,0.7641775631017435
TCR6,0.7025301348609618,0.7334167241775936,0.7481685542291604,0.7621609094457454
TCR7,0.7989483662741667,0.744858396373548,0.758595242970243,0.7459853638425068
A6,0.7710020279832509,0.7672225259704758,0.7763676812620083,0.7556362517054341
T1,0.8382688492063491,0.8328703703703703,0.834643179765131,0.8376705653021443
FLT3DY,0.4758813626460685,0.5457546459443993,0.6075708061002179,0.6094075928243639
A23,0.7182899389263903,0.7756864988558352,0.8466210949211489,0.8370830221558377
TCR2-T,0.6740214067278286,0.6553812961579952,0.7089784442361763,0.7305958132045088
868Z11,0.7377771137482569,0.75719474350306,0.7824675324675324,0.7731280193236715
