,0,1
a3a,0.8191374269005848,0.9272531702898551
TCR81-14,0.7634649301315969,0.798074074074074
18A2,0.8244972122660293,0.8334567901234567
NYE-S1,0.7796067755595887,0.8757415424082091
TCR6,0.734092775041051,0.7295974310776941
TCR7,0.7722965819721717,0.7342458677685949
A6,0.8180204216073781,0.7773665935672515
T1,0.8276944444444444,0.842296918767507
FLT3DY,0.7704930429522081,0.8509199134199134
A23,0.8636653895274584,0.9326690821256038
TCR2-T,0.7294050343249427,0.7665289256198347
868Z11,0.6552270531400967,0.7514619883040936
