,0,1
a3a,0.8543033194195985,0.8811903759820426
TCR81-14,0.677155582755338,0.7423630527078803
18A2,0.8493399229724615,0.8288110698824984
NYE-S1,0.7392574942978168,0.8047684520962856
TCR6,0.780630060728745,0.8150522317188983
TCR7,0.8050662286191073,0.7882070707070706
A6,0.7407421854683518,0.7549038461538462
T1,0.8202838827838829,0.7995801033591731
FLT3DY,0.8301282051282052,0.7921019900497512
A23,0.8247271400469574,0.8852040816326531
TCR2-T,0.720324209840339,0.7695165945165945
868Z11,0.7431247692875601,0.796174863387978
