,0,1
a3a,0.8469922707210843,0.9113636363636365
TCR81-14,0.7543338793338794,0.7592592592592592
18A2,0.8525587234679208,0.8665091036414566
NYE-S1,0.8010073925106603,0.857560568086884
TCR6,0.7950100494743352,0.7881481481481482
TCR7,0.7896903604432182,0.7943471582181258
A6,0.842532424910733,0.8559670781893004
T1,0.8386274509803923,0.844040404040404
FLT3DY,0.7486263736263736,0.8351421188630491
A23,0.8003372289086575,0.7293650793650794
TCR2-T,0.6821434567279443,0.7215348753810291
868Z11,0.7596573846573847,0.7452686202686203
