,0,1,2,3
a3a,0.8677745231934062,0.8295443272735114,0.8656812169312169,0.8628581069313827
TCR81-14,0.6938883155601422,0.6937797088532381,0.6920670670670671,0.6977492877492878
18A2,0.8405748222230217,0.851138985005767,0.842322437449556,0.8609036658141518
NYE-S1,0.6189001501501502,0.6663592127540082,0.6769148697214735,0.7259872286079183
TCR6,0.7431035732405595,0.7831179255327863,0.7925059562486463,0.8054451345755694
TCR7,0.7757763160360563,0.7758525082918739,0.779146941427643,0.7999919562419562
A6,0.770718151872651,0.7785507172109271,0.7937723613595707,0.8549416264090177
T1,0.8183458646616542,0.7825401999130812,0.8081550802139037,0.7556847545219639
FLT3DY,0.4547770088427529,0.6045679012345678,0.7191284271284272,0.7646687198926004
A23,0.7578893053066101,0.8312926980747051,0.8854316719485259,0.9102020202020201
TCR2-T,0.6306115675047713,0.7015637916259033,0.7811948529411765,0.6922015182884748
868Z11,0.7176652674755141,0.7608011646473186,0.7974867724867725,0.8004385964912282
