,0,1
a3a,0.8706710743001066,0.8551359502852041
TCR81-14,0.7396453873451453,0.7356151077081309
18A2,0.8368261012491781,0.8451064755612391
NYE-S1,0.692623828074832,0.7386780396221782
TCR6,0.739758527524485,0.7513196741505418
TCR7,0.8029789810907954,0.793703775369797
A6,0.7596996807984535,0.7477380952380952
T1,0.8322316986496091,0.8220338983050848
FLT3DY,0.43429391958803715,0.6037574000241633
A23,0.7996647601910759,0.8240370581889712
TCR2-T,0.7332818930041153,0.7085393772893772
868Z11,0.7261376390164269,0.7121866897147796
