,0,1
a3a,0.8406299058084773,0.8804403481822837
TCR81-14,0.7196835758647264,0.7399122807017543
18A2,0.8266118377592813,0.87765522875817
NYE-S1,0.75998778998779,0.7983867715265175
TCR6,0.7867216117216117,0.7971726190476192
TCR7,0.8092691622103386,0.8609661835748792
A6,0.7838036793829476,0.7858395989974937
T1,0.841025641025641,0.7579365079365079
FLT3DY,0.8038659998412321,0.7834467120181405
A23,0.8098978288633462,0.8242063492063493
TCR2-T,0.6779103249691484,0.6875
868Z11,0.6793270543270543,0.8525641025641025
