,0,1
a3a,0.8313000696621385,0.8390593250287127
TCR81-14,0.7356428334689205,0.7625081221572451
18A2,0.8447374931749932,0.820133547008547
NYE-S1,0.733865718418515,0.8239842054497227
TCR6,0.742624659291326,0.7354970760233918
TCR7,0.7526191152789617,0.7971586971586971
A6,0.7198620188816268,0.7700814536340852
T1,0.8608371685294762,0.8345238095238093
FLT3DY,0.8261315992128004,0.8748667945439045
A23,0.8268633113311331,0.8262245745122457
TCR2-T,0.6999779541446208,0.7448260073260075
868Z11,0.6933720930232559,0.7369162640901771
