"","X","corr","aa","tcr"
"129",60,0.274947100715545,"PAM450","12A11"
"130",61,0.263390966116403,"PAM460","12A11"
"131",62,0.265734632489138,"PAM470","12A11"
"132",63,0.275671667325339,"PAM480","12A11"
"133",64,0.269085345795275,"PAM490","12A11"
"134",65,0.265722363258453,"PAM500","12A11"
"135",66,0.328750924945558,"DAYHOFF","12A11"
"136",67,0.368448324516122,"GONNET","12A11"
"137",0,0.622858608809057,"HAMMING","13A10"
"138",1,0.438072057183131,"BLOSUM62","13A10"
"139",2,0.420135358489176,"BLOSUM30","13A10"
"140",3,0.438937416048816,"BLOSUM35","13A10"
"141",4,0.447369197969989,"BLOSUM40","13A10"
"142",5,0.449784670243292,"BLOSUM45","13A10"
"143",6,0.440285601218622,"BLOSUM50","13A10"
"144",7,0.433335375830775,"BLOSUM55","13A10"
"145",8,0.439141724195569,"BLOSUM60","13A10"
"146",9,0.438621347207199,"BLOSUM65","13A10"
"147",10,0.44588875335494,"BLOSUM70","13A10"
"148",11,0.431375167537986,"BLOSUM75","13A10"
"149",12,0.434031414664217,"BLOSUM80","13A10"
"150",13,0.402715321073447,"BLOSUM85","13A10"
"151",14,0.445709246767725,"BLOSUM90","13A10"
"152",15,0.432552953599822,"BLOSUM100","13A10"
"153",16,0.413083214342346,"PAM10","13A10"
"154",17,0.393751758238775,"PAM20","13A10"
"155",18,0.387863113179579,"PAM30","13A10"
"156",19,0.403333214577183,"PAM40","13A10"
"157",20,0.385975572490209,"PAM50","13A10"
"158",21,0.38466950040407,"PAM60","13A10"
"159",22,0.386214593953913,"PAM70","13A10"
"160",23,0.375161042418336,"PAM80","13A10"
"161",24,0.380587141478146,"PAM90","13A10"
"162",25,0.353071543121174,"PAM100","13A10"
"163",26,0.367241255998242,"PAM110","13A10"
"164",27,0.364246803314007,"PAM120","13A10"
"165",28,0.357782957576613,"PAM130","13A10"
"166",29,0.362064231964267,"PAM140","13A10"
"167",30,0.381191760057661,"PAM150","13A10"
"168",31,0.359550452942206,"PAM160","13A10"
"169",32,0.328319404355314,"PAM170","13A10"
"170",33,0.331059484217292,"PAM180","13A10"
"171",34,0.31846146846197,"PAM190","13A10"
"172",35,0.314759488737937,"PAM200","13A10"
"173",36,0.318757917911519,"PAM210","13A10"
"174",37,0.300083715404155,"PAM220","13A10"
"175",38,0.325866714091509,"PAM230","13A10"
"176",39,0.330426828736658,"PAM240","13A10"
"177",40,0.335703880191057,"PAM250","13A10"
"178",41,0.301033723157693,"PAM260","13A10"
"179",42,0.285078578619291,"PAM270","13A10"
"180",43,0.293031040660831,"PAM280","13A10"
"181",44,0.309973997790337,"PAM290","13A10"
"182",45,0.262366866013219,"PAM300","13A10"
"183",46,0.264282705654502,"PAM310","13A10"
"184",47,0.293965015797602,"PAM320","13A10"
"185",48,0.267398073518634,"PAM330","13A10"
"186",49,0.261259984400409,"PAM340","13A10"
"187",50,0.234867200957556,"PAM350","13A10"
"188",51,0.200299568528062,"PAM360","13A10"
"189",52,0.239900102572331,"PAM370","13A10"
"190",53,0.237738323905363,"PAM380","13A10"
"191",54,0.194669858345214,"PAM390","13A10"
"192",55,0.210939603270111,"PAM400","13A10"
"193",56,0.183467325878677,"PAM410","13A10"
"194",57,0.167402231905993,"PAM420","13A10"
"195",58,0.173241886503708,"PAM430","13A10"
"196",59,0.170312227358711,"PAM440","13A10"
"197",60,0.193301081004378,"PAM450","13A10"
"198",61,0.156436781475785,"PAM460","13A10"
"199",62,0.14559823722998,"PAM470","13A10"
"200",63,0.162700996988728,"PAM480","13A10"
"201",64,0.120637660448209,"PAM490","13A10"
"202",65,0.114202501969365,"PAM500","13A10"
"203",66,0.340920838563477,"DAYHOFF","13A10"
"204",67,0.325180083904146,"GONNET","13A10"
"205",0,0.573334662137431,"HAMMING","14A4"
"206",1,0.426948474848697,"BLOSUM62","14A4"
"207",2,0.365714721846101,"BLOSUM30","14A4"
"208",3,0.421010096601466,"BLOSUM35","14A4"
"209",4,0.427285397177408,"BLOSUM40","14A4"
"210",5,0.434095407307069,"BLOSUM45","14A4"
"211",6,0.416747150029938,"BLOSUM50","14A4"
"212",7,0.424760941358617,"BLOSUM55","14A4"
"213",8,0.428356367651784,"BLOSUM60","14A4"
"214",9,0.418615314239842,"BLOSUM65","14A4"
"215",10,0.430825515322406,"BLOSUM70","14A4"
"216",11,0.43131033293719,"BLOSUM75","14A4"
