"","X","WS","NS","NW","aa_matrix","tcr","mean_auc"
"1",0,0.783006854256854,0.909479622843467,0.729923073494012,"HAMMING","11A10",0.807469850198111
"2",1,0.749444444444445,0.935014357623053,0.777922719157273,"BLOSUM62","11A10",0.820793840408257
"3",2,0.707395382395382,0.929167097839867,0.767627326906503,"BLOSUM30","11A10",0.801396602380584
"4",3,0.768896103896104,0.915748294421063,0.760469303008205,"BLOSUM35","11A10",0.815037900441791
"5",4,0.813603896103896,0.922377462354579,0.772397558962776,"BLOSUM40","11A10",0.836126305807084
"6",5,0.749292929292929,0.926623771600888,0.758115417763015,"BLOSUM45","11A10",0.811344039552278
"7",6,0.728470418470418,0.931740650653694,0.777209397010312,"BLOSUM50","11A10",0.812473488711475
"8",7,0.779318181818182,0.938378770987467,0.778930378545939,"BLOSUM55","11A10",0.832209110450529
"9",8,0.743730158730159,0.936583899192595,0.773656507108452,"BLOSUM60","11A10",0.817990188343735
"10",9,0.737698412698413,0.933907051504306,0.7763697286695,"BLOSUM65","11A10",0.815991730957406
"11",10,0.732142857142857,0.941753408046314,0.776560103512049,"BLOSUM70","11A10",0.816818789567073
"12",11,0.774577922077922,0.943672599965506,0.776226393743556,"BLOSUM75","11A10",0.831492305262328
"13",12,0.783308080808081,0.94137799398669,0.784752245466204,"BLOSUM80","11A10",0.836479440086991
"14",13,0.794577922077922,0.936050222343129,0.780885121743245,"BLOSUM85","11A10",0.837171088721432
"15",14,0.820977633477633,0.933986102887705,0.78097638974298,"BLOSUM90","11A10",0.845313375369439
"16",15,0.812463924963925,0.94244383635688,0.775279007034156,"BLOSUM100","11A10",0.843395589451653
"17",16,0.763272005772006,0.93195297456167,0.776479675930477,"PAM10","11A10",0.823901552088051
"18",17,0.75755772005772,0.931425965339009,0.773114562782755,"PAM20","11A10",0.820699416059828
"19",18,0.761194083694084,0.931775615688659,0.77030246869835,"PAM30","11A10",0.821090722693698
"20",19,0.729992784992785,0.925769399682443,0.775238004558371,"PAM40","11A10",0.8103333964112
"21",20,0.752171717171717,0.926292443889698,0.776189798759593,"PAM50","11A10",0.818217986607003
"22",21,0.724235209235209,0.924147921745176,0.759170433685308,"PAM60","11A10",0.802517854888564
"23",22,0.719401154401154,0.917123834721089,0.772883062018073,"PAM70","11A10",0.803136017046772
"24",23,0.717683982683983,0.925251262848517,0.775169818739613,"PAM80","11A10",0.806035021424037
"25",24,0.70294733044733,0.920940259841862,0.766749177595859,"PAM90","11A10",0.79687892262835
"26",25,0.71229797979798,0.919243695536602,0.766110171293238,"PAM100","11A10",0.799217282209273
"27",26,0.717853535353535,0.913945901543155,0.754836723916815,"PAM110","11A10",0.795545386937835
"28",27,0.709148629148629,0.917973219254684,0.768462626618233,"PAM120","11A10",0.798528158340515
"29",28,0.707070707070707,0.901606720256606,0.754435092367587,"PAM130","11A10",0.787704173231633
"30",29,0.701850649350649,0.903244840590378,0.754666439967355,"PAM140","11A10",0.786587309969461
"31",30,0.718315295815296,0.904385929351604,0.756629542082631,"PAM150","11A10",0.793110255749844
"32",31,0.704054834054834,0.907035502001177,0.763118395334643,"PAM160","11A10",0.791402910463551
"33",32,0.691904761904762,0.898457413423088,0.755011494226597,"PAM170","11A10",0.781791223184816
"34",33,0.686349206349206,0.890972033306129,0.758943084375579,"PAM180","11A10",0.778754774676972
"35",34,0.676839826839827,0.889265334208126,0.760118213594186,"PAM190","11A10",0.77540779154738
"36",35,0.667251082251082,0.888371783314575,0.755377530935883,"PAM200","11A10",0.770333465500514
"37",36,0.681637806637807,0.875882767118465,0.753861829246269,"PAM210","11A10",0.770460801000847
"38",37,0.669996392496392,0.8713140025497,0.756588537320803,"PAM220","11A10",0.765966310788965
