,0
0,7281.8184426625385
1,4787.537702246027
2,3091.744215015871
3,5070.679161170616
4,3972.1757899595896
5,3288.8902251120235
6,4389.658510545436
7,4054.1768705632794
8,3766.4231140637257
9,3696.6905682059373
10,4416.088191479488
11,3577.569962468281
12,3795.7708775455153
13,4897.227229280298
14,3456.4234542541776
15,3069.3856612598347
16,3363.706139405873
17,4137.617912285666
18,4067.280157369557
19,3140.8916420667483
20,5860.585969905981
21,6900.860774713249
22,6145.12776128149
23,3588.5667822105434
24,4697.312911730545
25,3046.7168367926643
26,3665.7334247517083
27,3569.5664981331656
28,5118.340706995748
29,3663.0803524033377
30,6264.197209303221
31,4920.932147309325
32,4195.056871900872
33,4185.964364255125
34,3938.9836581457607
35,4152.625818557421
36,4970.138265361815
37,3368.5574079390344
38,3516.787660832769
39,4986.357583419596
40,3897.7875130892426
41,4689.228738577712
42,4763.244401054685
43,3608.337336917101
44,13939.14932162556
45,4193.43703181584
46,3764.5877468582057
47,5103.451713921282
48,6562.948684196124
49,3406.1634047701405
50,5649.231208617308
51,4246.608442636574
52,3772.8013048266394
53,3615.60505880442
54,4812.492077359702
55,4066.1810642601317
56,5677.904894782081
57,4631.890043279609
58,4775.650704858318
59,5603.355224157811
60,5210.980321318442
61,6813.416644993161
62,4248.978092499178
63,5251.4399108041725
64,3340.3820622665917
65,3711.132510298382
66,7172.328166951133
67,3190.978984202342
68,3508.418059425864
69,3850.226372158174
70,4870.220644536601
71,4083.9062735805596
72,3883.3119925775054
73,4517.881461362698
74,3955.9668552432267
75,3592.69191017702
76,4235.646829494291
77,4964.1639268644585
78,4484.789062839236
79,4165.907724975169
80,4301.811250869572
81,5363.70023465858
82,3415.393533603397
83,5175.693265778615
84,4870.25776395825
85,4557.860949951424
86,3868.591644866729
87,5465.036068699446
88,4127.484906904596
89,4344.78067493916
90,4862.702878343955
91,3588.6732961399557
92,5393.107502711667
93,3586.514615599155
94,3987.0473813304834
95,4383.533197511384
96,4111.890666408869
97,3543.0865580966265
98,4203.628260689957
99,3087.5867232050036
100,4332.997130347793
101,4061.352619044597
102,5016.700337626741
103,6554.11525682421
104,4052.591114212777
105,3501.854512617422
106,4479.134668605397
107,4273.4802811937625
108,3833.2301849045666
109,3858.1108171235646
110,5147.02974893363
111,3015.162762968816
112,4978.124942297283
113,7307.721007229299
114,2948.3971928452
115,5661.291799863299
