,0
a3a,0.801763668430335
TIL1383I,0.6455555555555555
TCR81-14,0.6938131313131312
18A2,0.7678571428571429
NYE-S1,0.820713141025641
TCR6,0.8092105263157895
TCR7,0.7878787878787877
A6,0.7611865258924082
T1,0.974910394265233
FLT3DY,0.9174382716049383
A23,0.885632183908046
TCR2-T,0.7799145299145298
R24,0.7870370370370371
868Z11,0.8579931972789115
TCR-1E6,0.6482758620689655
APN-TCR,0.7291025641025642
EWW-TCR,0.8351851851851851
A11Va,0.8094582185491276
TCR-F5,0.8929154250035477
TCR-3598-2,0.8742877492877493
MBP-TCR,0.8962418300653594
B3K508,0.8737373737373737
