,0
a3a,0.7817460317460316
TIL1383I,0.6565656565656566
TCR81-14,0.7049663299663299
18A2,0.8019298245614035
NYE-S1,0.7949074074074073
TCR6,0.7978395061728395
TCR7,0.826530612244898
A6,0.7972370766488414
T1,0.9827586206896551
FLT3DY,0.6768939393939394
A23,0.8075396825396824
TCR2-T,0.7135869565217391
R24,0.7242798353909464
868Z11,0.7007275132275131
TCR-1E6,0.5816186556927299
APN-TCR,0.7816287878787879
EWW-TCR,0.6911816578483245
A11Va,0.8304398148148149
TCR-F5,0.901889534883721
TCR-3598-2,0.8875832354093224
MBP-TCR,0.9224338624338625
B3K508,0.5555555555555556
