,0
a3a,0.892918192918193
TIL1383I,0.7695238095238094
TCR81-14,0.7604395604395604
18A2,0.8152557319223986
NYE-S1,0.7582070707070708
TCR6,0.7728937728937729
TCR7,0.7494331065759637
A6,0.8632478632478633
T1,0.6186868686868686
FLT3DY,0.7802898550724637
A23,0.8025641025641027
TCR2-T,0.7666666666666666
R24,0.7813131313131314
868Z11,0.7777777777777778
TCR-1E6,0.7480490523968785
APN-TCR,0.766347687400319
EWW-TCR,0.7776936026936028
A11Va,0.8595378979994365
TCR-F5,0.8925028459912182
TCR-3598-2,0.8331422825540473
MBP-TCR,0.8769230769230769
B3K508,0.7666666666666666
