,0
a3a,0.9037037037037038
TIL1383I,0.7846153846153846
TCR81-14,0.7915695415695415
18A2,0.8189814814814814
NYE-S1,0.8773148148148149
TCR6,0.7694444444444445
TCR7,0.773879142300195
A6,0.7938988095238094
T1,0.9705882352941176
FLT3DY,0.9282407407407408
A23,0.9092592592592593
TCR2-T,0.8589743589743589
R24,0.8720538720538721
868Z11,0.828125
TCR-1E6,0.9011111111111111
APN-TCR,0.7369929453262786
EWW-TCR,0.7536402990948444
A11Va,0.8305109922756982
TCR-F5,0.8990853598696736
TCR-3598-2,0.8602430555555555
MBP-TCR,0.9121794871794872
B3K508,0.7222222222222222
