,WS,NS,NW,aa_matrix,tcr
0,0.84582848524025,0.9426285103785105,0.8118424549306903,hamming,TCR65-8
1,0.8368767507002802,0.9528522588522588,0.7770351217410042,blosum62,TCR65-8
2,0.8255182072829133,0.9322249694749696,0.7390445665445664,blosum30,TCR65-8
3,0.8063930187459599,0.9442145909645909,0.7665472599296128,blosum35,TCR65-8
4,0.8342469295410471,0.9482045177045177,0.7324376930259284,blosum40,TCR65-8
5,0.8496811032105149,0.9440439560439561,0.7642483660130719,blosum45,TCR65-8
6,0.8445862960568844,0.9510720390720391,0.7737919270272211,blosum50,TCR65-8
7,0.8463369963369963,0.9532863247863249,0.7716099260216908,blosum55,TCR65-8
8,0.8313132945485886,0.9440439560439561,0.7816390145801911,blosum60,TCR65-8
9,0.8414070243482008,0.9610549450549453,0.7809976298211593,blosum65,TCR65-8
10,0.8469607843137255,0.956412087912088,0.7798865187100482,blosum70,TCR65-8
11,0.8472839905192846,0.9617307692307693,0.7767973856209152,blosum75,TCR65-8
12,0.8430241327300152,0.9555494505494506,0.7893891402714932,blosum80,TCR65-8
13,0.8569381598793365,0.9631684981684983,0.781714429361488,blosum85,TCR65-8
14,0.8557875457875459,0.9552319902319903,0.7767277167277168,blosum90,TCR65-8
15,0.8590573152337859,0.9662454212454212,0.7818961430726137,blosum100,TCR65-8
16,0.846819650937298,0.9658840048840048,0.8301985922574158,pam10,TCR65-8
17,0.8419112260288731,0.9637960927960929,0.8181860949508006,pam20,TCR65-8
18,0.8347683688860158,0.965835164835165,0.806005171299289,pam30,TCR65-8
19,0.8398707175177762,0.9495103785103784,0.7987779214249803,pam40,TCR65-8
20,0.829898728722258,0.9622087912087913,0.8134364002011061,pam50,TCR65-8
21,0.83274186597716,0.9494737484737484,0.7986694677871148,pam60,TCR65-8
22,0.8343244990303813,0.9554566544566544,0.8002853192559074,pam70,TCR65-8
23,0.8318379659556129,0.9611221001221001,0.8197347913524384,pam80,TCR65-8
24,0.8245550527903468,0.9309908424908425,0.797823026646556,pam90,TCR65-8
25,0.8159663865546218,0.9438693528693529,0.7840567765567766,pam100,TCR65-8
26,0.8133225597931479,0.95106105006105,0.7949847374847375,pam110,TCR65-8
27,0.8144688644688645,0.9495225885225885,0.8029282482223659,pam120,TCR65-8
28,0.8114091790562379,0.9361404151404151,0.7825035911800617,pam130,TCR65-8
29,0.8157433742727861,0.9318943833943834,0.7927625152625152,pam140,TCR65-8
30,0.8123076923076923,0.9352155067155067,0.7813411261940673,pam150,TCR65-8
31,0.8094042232277525,0.9197503052503052,0.7680595058536235,pam160,TCR65-8
32,0.807902391725921,0.9288663003663004,0.7860628097392804,pam170,TCR65-8
33,0.8034205990088342,0.9260579975579976,0.7756054729584141,pam180,TCR65-8
34,0.8072064210299503,0.9221507936507937,0.7829900165194282,pam190,TCR65-8
35,0.780773540185305,0.9206123321123322,0.7785552682611506,pam200,TCR65-8
36,0.7872592113768585,0.9172179487179488,0.7736482798247505,pam210,TCR65-8
37,0.7801206636500753,0.9132179487179488,0.7762073547367665,pam220,TCR65-8
38,0.7735671191553545,0.9202997557997558,0.7628224879695468,pam230,TCR65-8
39,0.7784733893557423,0.9204310134310134,0.7611028513969691,pam240,TCR65-8
40,0.7822613660848955,0.9224853479853479,0.7574642677583855,pam250,TCR65-8
41,0.7724833010127127,0.9026782661782662,0.742550635638871,pam260,TCR65-8
42,0.7704201680672269,0.9029493284493284,0.7436680313150903,pam270,TCR65-8
43,0.7686543848308554,0.9026807081807082,0.7412310565251742,pam280,TCR65-8
44,0.7784152122387415,0.9059822954822956,0.7373304963010845,pam290,TCR65-8
45,0.7715858651152769,0.877322954822955,0.7270202183437476,pam300,TCR65-8
46,0.7831588019823313,0.8783119658119659,0.7153504991740285,pam310,TCR65-8
47,0.7503102779573367,0.8740213675213676,0.7176660920778568,pam320,TCR65-8
48,0.7484723120017238,0.8707960927960927,0.7096660202542556,pam330,TCR65-8
49,0.7325565610859728,0.8634230769230768,0.7185762766645121,pam340,TCR65-8
50,0.7569834087481147,0.8651862026862028,0.7194988508223803,pam350,TCR65-8
51,0.7263876319758673,0.866578144078144,0.720920060331825,pam360,TCR65-8
52,0.7220458952811895,0.8688913308913309,0.7161312217194571,pam370,TCR65-8
53,0.7269252316311139,0.8704786324786324,0.7174437980320333,pam380,TCR65-8
54,0.7105882352941176,0.8399096459096459,0.6971015585721468,pam390,TCR65-8
55,0.7188806291747468,0.8393803418803418,0.6922383825325001,pam400,TCR65-8
56,0.7234615384615385,0.871968253968254,0.7231875314228255,pam410,TCR65-8
57,0.7047145011850893,0.8466782661782662,0.7028054298642533,pam420,TCR65-8
58,0.7018552036199095,0.8444639804639804,0.6986260145083675,pam430,TCR65-8
59,0.7024068088773971,0.840893772893773,0.6957541478129714,pam440,TCR65-8
60,0.68770523594053,0.837520757020757,0.6894555771026358,pam450,TCR65-8
61,0.6798103856927387,0.8330518925518925,0.6930050994756877,pam460,TCR65-8
62,0.692260288730877,0.8409914529914531,0.6931534152122387,pam470,TCR65-8
63,0.6721741004093945,0.842331501831502,0.6913359189829777,pam480,TCR65-8
64,0.6761883214824391,0.823528083028083,0.6837718164188752,pam490,TCR65-8
65,0.6823055375996552,0.8300757020757021,0.6853102779573368,pam500,TCR65-8
66,0.781927386339151,0.9221190476190475,0.766988077282195,dayhoff,TCR65-8
67,0.7953544494720965,0.9258626373626374,0.7742742225095167,gonnet,TCR65-8
