TCR,AUC_within_TCR,AUC_LOO_TCR
a3a,0.9068435987880431,0.511480145179649
TIL1383I,0.7683369963369963,0.6972474334176463
TCR81-14,0.7907471232471232,0.6185533910533911
18A2,0.8528027011974381,0.8238734817394189
NYE-S1,0.8350382834757835,0.6619939889170658
TCR6,0.8093970681689979,0.6402505446623094
TCR7,0.8332353414034891,0.7216906021667926
A6,0.8246607781701364,0.7202970002970003
T1,0.8709710324282071,0.7418251584918251
FLT3DY,0.8629852761019808,0.6734593921875627
A23,0.8369762208842669,0.8591624910522548
TCR2-T,0.7994240590327547,0.6493813186889965
R24,0.8721838757949868,0.7374610679575219
868Z11,0.8178454568962088,0.8190408453566348
TCR-1E6,0.7915045497194423,0.6479825084476247
APN-TCR,0.793672893241424,0.570833513614861
EWW-TCR,0.8267341889311586,0.5960844795037756
A11Va,0.8398027671343693,0.6683055555555555
TCR-F5,0.9003495163299282,
TCR-3598-2,0.8674725304182183,
MBP-TCR,0.9272744412450296,
B3K508,0.7685866602533269,
