"","tcr","AUC","type","test"
"101","TCR81-14",0.789430754430754,"BATMAN (no MHC)","Within TCR"
"102","18A2",0.851646546922863,"BATMAN (no MHC)","Within TCR"
"103","NYE-S1",0.826858326858327,"BATMAN (no MHC)","Within TCR"
"104","TCR6",0.809142692914623,"BATMAN (no MHC)","Within TCR"
"105","TCR7",0.823829293159437,"BATMAN (no MHC)","Within TCR"
"106","A6",0.822364198487193,"BATMAN (no MHC)","Within TCR"
"107","T1",0.865372218931729,"BATMAN (no MHC)","Within TCR"
"108","FLT3DY",0.85055769877776,"BATMAN (no MHC)","Within TCR"
"109","A23",0.840784060554175,"BATMAN (no MHC)","Within TCR"
"110","TCR2-T",0.79045585815151,"BATMAN (no MHC)","Within TCR"
"111","R24",0.871603067714179,"BATMAN (no MHC)","Within TCR"
"112","868Z11",0.812793019254485,"BATMAN (no MHC)","Within TCR"
"113","TCR-1E6",0.764567628499774,"BATMAN (no MHC)","Within TCR"
"114","APN-TCR",0.787278333001469,"BATMAN (no MHC)","Within TCR"
"115","EWW-TCR",0.833543260891746,"BATMAN (no MHC)","Within TCR"
"116","A11Va",0.84166594130575,"BATMAN (no MHC)","Within TCR"
"117","TCR-F5",0.902215035451463,"BATMAN (no MHC)","Within TCR"
"118","TCR-3598-2",0.867128239364448,"BATMAN (no MHC)","Within TCR"
"119","MBP-TCR",0.928326167296756,"BATMAN (no MHC)","Within TCR"
"120","B3K508",0.777523649190316,"BATMAN (no MHC)","Within TCR"
"121","a3a",0.58441573781758,"BATMAN (no MHC)","LOO TCR"
"122","TIL1383I",0.69209938997173,"BATMAN (no MHC)","LOO TCR"
"123","TCR81-14",0.624509379509379,"BATMAN (no MHC)","LOO TCR"
"124","18A2",0.824084898229905,"BATMAN (no MHC)","LOO TCR"
"125","NYE-S1",0.622577564885257,"BATMAN (no MHC)","LOO TCR"
"126","TCR6",0.639344791414508,"BATMAN (no MHC)","LOO TCR"
"127","TCR7",0.69854119425548,"BATMAN (no MHC)","LOO TCR"
"128","A6",0.715380655380656,"BATMAN (no MHC)","LOO TCR"
