"","tcr","AUC"
"1","a3a",0.860751028806584
"2","TIL1383I",0.609294871794872
"3","TCR81-14",0.742618492618493
"4","18A2",0.785358796296296
"5","NYE-S1",0.797048611111111
"6","TCR6",0.786921296296296
"7","TCR7",0.777777777777778
"8","A6",0.712425595238095
"9","T1",0.975490196078431
"10","FLT3DY",0.686342592592593
"11","A23",0.7125
"12","TCR2-T",0.84775641025641
"13","R24",0.815001870557426
"14","868Z11",0.622395833333333
"15","TCR-1E6",0.870555555555556
"16","APN-TCR",0.757164902998236
"17","EWW-TCR",0.801308539944904
"18","A11Va",0.718508615567439
"19","TCR-F5",0.83931480500108
"20","TCR-3598-2",0.782818418560606
"21","MBP-TCR",0.840491452991453
"22","B3K508",0.624074074074074
