"","tcr","AUC"
"1","a3a",0.843650793650794
"2","TIL1383I",0.871746031746032
"3","TCR81-14",0.747985347985348
"4","18A2",0.767526455026455
"5","NYE-S1",0.768886784511784
"6","TCR6",0.70980870980871
"7","TCR7",0.708106575963719
"8","A6",0.814928127428127
"9","T1",0.794823232323232
"10","FLT3DY",0.824492753623188
"11","A23",0.770726495726496
"12","TCR2-T",0.727301587301587
"13","R24",0.876767676767677
"14","868Z11",0.756944444444444
"15","TCR-1E6",0.772296544035674
"16","APN-TCR",0.734728867623604
"17","EWW-TCR",0.791329966329966
"18","A11Va",0.8194561848408
"19","TCR-F5",0.906665040385971
"20","TCR-3598-2",0.894886877828054
"21","MBP-TCR",0.887179487179487
"22","B3K508",0.741049382716049
