"","tcr","AUC"
"1","a3a",0.894261294261294
"2","TIL1383I",0.721269841269841
"3","TCR81-14",0.788873626373626
"4","18A2",0.721395502645503
"5","NYE-S1",0.672453703703704
"6","TCR6",0.661324786324786
"7","TCR7",0.682369614512472
"8","A6",0.664675602175602
"9","T1",0.780934343434343
"10","FLT3DY",0.733333333333333
"11","A23",0.707051282051282
"12","TCR2-T",0.661428571428571
"13","R24",0.84709595959596
"14","868Z11",0.802083333333333
"15","TCR-1E6",0.678000743218135
"16","APN-TCR",0.690749601275917
"17","EWW-TCR",0.727525252525252
"18","A11Va",0.749683009298394
"19","TCR-F5",0.847339675828048
"20","TCR-3598-2",0.832192056309703
"21","MBP-TCR",0.86014245014245
"22","B3K508",0.712962962962963
