"","tcr","AUC"
"1","a3a",0.875641025641026
"2","TIL1383I",0.678888888888889
"3","TCR81-14",0.718681318681319
"4","18A2",0.770502645502645
"5","NYE-S1",0.62042297979798
"6","TCR6",0.725936100936101
"7","TCR7",0.66156462585034
"8","A6",0.594017094017094
"9","T1",0.882575757575758
"10","FLT3DY",0.730652173913043
"11","A23",0.686111111111111
"12","TCR2-T",0.693095238095238
"13","R24",0.860858585858586
"14","868Z11",0.678819444444444
"15","TCR-1E6",0.656540319583798
"16","APN-TCR",0.691228070175439
"17","EWW-TCR",0.66969696969697
"18","A11Va",0.757185122569738
"19","TCR-F5",0.802888003469399
"20","TCR-3598-2",0.797154348919055
"21","MBP-TCR",0.789230769230769
"22","B3K508",0.652469135802469
