"","tcr","AUC"
"1","a3a",0.814094650205761
"2","TIL1383I",0.642200854700855
"3","TCR81-14",0.72542735042735
"4","18A2",0.832291666666667
"5","NYE-S1",0.799074074074074
"6","TCR6",0.769791666666667
"7","TCR7",0.657894736842105
"8","A6",0.704985119047619
"9","T1",0.985294117647059
"10","FLT3DY",0.655381944444444
"11","A23",0.708641975308642
"12","TCR2-T",0.772435897435897
"13","R24",0.773756079311635
"14","868Z11",0.664496527777778
"15","TCR-1E6",0.729166666666667
"16","APN-TCR",0.626543209876543
"17","EWW-TCR",0.780893349075167
"18","A11Va",0.735925430778372
"19","TCR-F5",0.815629354845041
"20","TCR-3598-2",0.744831123737374
"21","MBP-TCR",0.84508547008547
"22","B3K508",0.851851851851852
