"","tcr","AUC"
"1","a3a",0.991898148148148
"2","TIL1383I",0.782275132275132
"3","TCR81-14",0.714657738095238
"4","18A2",0.763657407407407
"5","NYE-S1",0.801816239316239
"6","TCR6",0.887731481481482
"7","TCR7",0.773944805194805
"8","A6",0.758126721763085
"9","T1",0.666666666666667
"10","FLT3DY",0.819444444444444
"11","A23",0.621031746031746
"12","TCR2-T",0.891666666666667
"13","R24",0.871775793650794
"14","868Z11",0.830827067669173
"15","TCR-1E6",0.738888888888889
"16","APN-TCR",0.817447916666667
"17","EWW-TCR",0.90150462962963
"18","A11Va",0.71969696969697
"19","TCR-F5",0.846226150392817
"20","TCR-3598-2",0.84261316872428
"21","MBP-TCR",0.913888888888889
"22","B3K508",0.796296296296296
