"","tcr","AUC"
"1","a3a",0.861477411477412
"2","TIL1383I",0.887301587301587
"3","TCR81-14",0.626739926739927
"4","18A2",0.680831128747795
"5","NYE-S1",0.686079545454545
"6","TCR6",0.699124949124949
"7","TCR7",0.61859410430839
"8","A6",0.589063714063714
"9","T1",0.902777777777778
"10","FLT3DY",0.747971014492754
"11","A23",0.545940170940171
"12","TCR2-T",0.703253968253968
"13","R24",0.814646464646465
"14","868Z11",0.661458333333333
"15","TCR-1E6",0.705871423262728
"16","APN-TCR",0.716068580542265
"17","EWW-TCR",0.743518518518518
"18","A11Va",0.780395886165117
"19","TCR-F5",0.855843768634466
"20","TCR-3598-2",0.839316239316239
"21","MBP-TCR",0.855128205128205
"22","B3K508",0.596296296296296
