"","tcr","AUC"
"1","a3a",0.819312169312169
"2","TIL1383I",0.65125
"3","TCR81-14",0.691024831649832
"4","18A2",0.763035714285714
"5","NYE-S1",0.722355769230769
"6","TCR6",0.751705653021443
"7","TCR7",0.699638429752066
"8","A6",0.619343891402715
"9","T1",0.672939068100358
"10","FLT3DY",0.829089506172839
"11","A23",0.707327586206897
"12","TCR2-T",0.809027777777778
"13","R24",0.842592592592593
"14","868Z11",0.852465986394558
"15","TCR-1E6",0.636206896551724
"16","APN-TCR",0.715512820512821
"17","EWW-TCR",0.847222222222222
"18","A11Va",0.791245791245791
"19","TCR-F5",0.828694834681425
"20","TCR-3598-2",0.847952279202279
"21","MBP-TCR",0.801113153594771
"22","B3K508",0.63604797979798
