"","tcr","AUC"
"1","a3a",0.812830687830688
"2","TIL1383I",0.698611111111111
"3","TCR81-14",0.768571127946128
"4","18A2",0.760238095238095
"5","NYE-S1",0.703926282051282
"6","TCR6",0.799768518518518
"7","TCR7",0.777031680440771
"8","A6",0.639517345399698
"9","T1",0.687275985663082
"10","FLT3DY",0.859953703703704
"11","A23",0.623563218390805
"12","TCR2-T",0.794871794871795
"13","R24",0.736637205387205
"14","868Z11",0.572278911564626
"15","TCR-1E6",0.725574712643678
"16","APN-TCR",0.768076923076923
"17","EWW-TCR",0.869675925925926
"18","A11Va",0.771617692072238
"19","TCR-F5",0.864206399886477
"20","TCR-3598-2",0.838915598290598
"21","MBP-TCR",0.853043300653595
"22","B3K508",0.689709595959596
