"","tcr","AUC"
"1","a3a",0.90964590964591
"2","TIL1383I",0.71969696969697
"3","TCR81-14",0.765782828282828
"4","18A2",0.790877192982456
"5","NYE-S1",0.746412037037037
"6","TCR6",0.726317663817664
"7","TCR7",0.703231292517007
"8","A6",0.618092691622103
"9","T1",0.797413793103448
"10","FLT3DY",0.811363636363636
"11","A23",0.704199735449735
"12","TCR2-T",0.68768115942029
"13","R24",0.867592592592593
"14","868Z11",0.70775462962963
"15","TCR-1E6",0.782921810699588
"16","APN-TCR",0.662026515151515
"17","EWW-TCR",0.754100529100529
"18","A11Va",0.791956018518518
"19","TCR-F5",0.849510120585702
"20","TCR-3598-2",0.816534469251861
"21","MBP-TCR",0.833201058201058
"22","B3K508",0.552910052910053
