"","tcr","AUC"
"1","a3a",0.982638888888889
"2","TIL1383I",0.783862433862434
"3","TCR81-14",0.782738095238095
"4","18A2",0.852546296296296
"5","NYE-S1",0.727831196581197
"6","TCR6",0.824652777777778
"7","TCR7",0.763122294372294
"8","A6",0.790220385674931
"9","T1",0.658730158730159
"10","FLT3DY",0.89766081871345
"11","A23",0.721230158730159
"12","TCR2-T",0.825
"13","R24",0.909722222222222
"14","868Z11",0.721177944862155
"15","TCR-1E6",0.748148148148148
"16","APN-TCR",0.799869791666667
"17","EWW-TCR",0.900231481481481
"18","A11Va",0.753872053872054
"19","TCR-F5",0.850673400673401
"20","TCR-3598-2",0.866934156378601
"21","MBP-TCR",0.896969696969697
"22","B3K508",0.787037037037037
