"","tcr","AUC"
"1","a3a",0.99537037037037
"2","TIL1383I",0.784656084656085
"3","TCR81-14",0.758680555555556
"4","18A2",0.777083333333333
"5","NYE-S1",0.701655982905983
"6","TCR6",0.813657407407407
"7","TCR7",0.751217532467532
"8","A6",0.824104683195592
"9","T1",0.599867724867725
"10","FLT3DY",0.847953216374269
"11","A23",0.693452380952381
"12","TCR2-T",0.800462962962963
"13","R24",0.923115079365079
"14","868Z11",0.779448621553885
"15","TCR-1E6",0.719444444444444
"16","APN-TCR",0.810416666666667
"17","EWW-TCR",0.846875
"18","A11Va",0.788888888888889
"19","TCR-F5",0.866919191919192
"20","TCR-3598-2",0.855123456790123
"21","MBP-TCR",0.948989898989899
"22","B3K508",0.773148148148148
