"","tcr","auc_al","auc_loo","d_mean","d_median","d_std"
"1","18A2",0.80457715921414,0.798559044951113,1.15344908339428,0.674429809090909,1.37805380658318
"2","868Z11",0.740489236519289,0.79304265336654,0.952443119950053,0.735883636363637,0.86900202806623
"3","A23",0.718708274809746,0.846437632795901,0.947156916663614,0.744657,0.816768920380048
"4","a3a",0.853748803134251,0.573740871450344,1.38296634405989,1.15160596269063,1.05631077844985
"5","A6",0.765631284655813,0.71671261487051,1.222913579686,0.81495431372549,1.12180136395161
"6","FLT3DY",0.4763457751973,0.61809691045246,1.05599000936749,0.763553309629631,0.92685498326137
"7","NYE-S1",0.684697548189946,0.626223258989531,1.2238563524246,1.02311377777778,0.910195635810458
"8","T1",0.83830866516284,0.754188914219436,1.10824431967258,0.868371153846152,1.00020346045538
"9","TCR2-T",0.647161730342364,0.624266367882352,1.10326822240508,0.924407189037434,0.934685345202507
"10","TCR6",0.703967585651675,0.569085502168835,1.08130592402317,0.979495124999999,0.878238371816525
"11","TCR7",0.787500643695712,0.708143171162954,1.10708399056937,0.870438887499999,0.901206012039005
"12","TCR81-14",0.738014474776342,0.614622283440465,1.1368699083781,0.86051488398693,1.02172383525805
