,0,1
a3a,0.8775139174864638,0.8597707038430252
TCR81-14,0.7475134099616859,0.7628836863619473
18A2,0.8147211356092935,0.8481070553221288
NYE-S1,0.6420494202409096,0.6793132942326491
TCR6,0.7258343558960414,0.739102564102564
TCR7,0.7951482127938894,0.8042521014690244
A6,0.7408260335558028,0.7537364365194553
T1,0.8365319865319866,0.8328502415458937
FLT3DY,0.5619830996044589,0.7167283950617284
A23,0.8196454678362574,0.8356976453947915
TCR2-T,0.7246084142394822,0.7637697050597508
868Z11,0.7454979083766963,0.7392551273382916
