,0,1
a3a,0.7516589169814978,0.8466368227731865
TCR81-14,0.7374968071519796,0.735574074074074
18A2,0.8279055893321822,0.8491139069264069
NYE-S1,0.719056707030805,0.7566130789747594
TCR6,0.7190391759540695,0.7646329365079364
TCR7,0.7842547706986766,0.8046107331821618
A6,0.7354925775978408,0.7768222222222222
T1,0.8343283582089552,0.8265536723163841
FLT3DY,0.6648524075708542,0.7176169570710513
A23,0.8290633192175841,0.8115742469504607
TCR2-T,0.6590164105290037,0.6631166739862392
868Z11,0.7441993464052289,0.7726683428930619
