,0,1,2,3
a3a,0.7716113400729272,0.8409880050505049,0.8474668865293866,0.8433561024501314
TCR81-14,0.7263540113901312,0.7338757857313029,0.7394343229869547,0.7241904337492574
18A2,0.7989605263157896,0.8394618602489284,0.87276390540362,0.866662021553326
NYE-S1,0.5853702916607634,0.6600830535502729,0.7536408730158731,0.7845202846605371
TCR6,0.7509805613066481,0.7858594804318488,0.7793833542188805,0.8185868137641187
TCR7,0.7194096351991089,0.7422243391283638,0.7808977528179776,0.8095956975043638
A6,0.7608578096539164,0.7648549300848151,0.7479967948717948,0.7822351968693432
T1,0.8362794612794614,0.8127547666009205,0.7836908690869087,0.8193152454780361
FLT3DY,0.5412846098525711,0.6124213063151681,0.6784245166598107,0.7001958689458689
A23,0.8360472541507024,0.8291322882288229,0.8287021475256768,0.8417449139280125
TCR2-T,0.7402273560689402,0.7646124031007752,0.7517138849375691,0.725380291005291
868Z11,0.7115518824609733,0.7347381864623245,0.7362716321164312,0.7293972109761583
