,0,1
a3a,0.8665016412689285,0.8526764084994464
TCR81-14,0.7506101226868834,0.7769915097822074
18A2,0.8550989061723134,0.8346686481014839
NYE-S1,0.6315138495589624,0.7132973398169336
TCR6,0.7449611101785015,0.7751396144838768
TCR7,0.8058682983682983,0.8133549253034547
A6,0.744292078417715,0.7515405628613175
T1,0.8476483585858586,0.84061986863711
FLT3DY,0.745334556299719,0.8315656565656565
A23,0.8085551522484371,0.8191350385038504
TCR2-T,0.5481391585760517,0.6005434782608695
868Z11,0.7411483456037912,0.7636953807740324
