,0,1,2,3
a3a,0.8532732387162767,0.8789538043478261,0.8518833933835571,0.8641324626865673
TCR81-14,0.7533906374655789,0.7281669914342549,0.7380369070254985,0.720985125471712
18A2,0.8205792682926828,0.8224352895405528,0.8297311009639777,0.8289431673052362
NYE-S1,0.6981793700971783,0.7121388028895769,0.7862965200174502,0.7599981683380582
TCR6,0.7371258748809769,0.7901021961295932,0.7744104369004129,0.7928966458378223
TCR7,0.7750440917107584,0.7856676661892826,0.7874641008443826,0.7717075494165276
A6,0.775774826059456,0.7610973998887652,0.7580355276907,0.7900470129572296
T1,0.8394097222222223,0.8367845117845119,0.8390243902439026,0.838401559454191
FLT3DY,0.4824717246735595,0.5261293690762566,0.653961997170002,0.7675032740556934
A23,0.722420443587271,0.7787566742944317,0.845158002038736,0.8373319641523524
TCR2-T,0.6138967452300785,0.6191292735042735,0.6376379074007533,0.6958011794968316
868Z11,0.7418537806995077,0.7111580702662298,0.7481607457797935,0.816231884057971
