,0,1
a3a,0.8445995085995085,0.8587349266466414
TCR81-14,0.7537902352480358,0.7350323176361956
18A2,0.8610714757563747,0.8674678473539954
NYE-S1,0.7627685265282583,0.8283219981704649
TCR6,0.7703965758211041,0.7979714912280702
TCR7,0.76892177589852,0.8716666666666667
A6,0.7703985507246377,0.7825396825396825
T1,0.8237623762376237,0.7297619047619047
FLT3DY,0.8352635019301685,0.8032929546087441
A23,0.8660493827160494,0.8211451247165532
TCR2-T,0.702109570115309,0.77119341563786
868Z11,0.6922028985507246,0.7586594691857851
