,0,1
a3a,0.8294640657445536,0.8383447178917324
TCR81-14,0.7316925686263667,0.752712087087087
18A2,0.8323560158830556,0.865099715099715
NYE-S1,0.733754179779701,0.8137523809523809
TCR6,0.7178844900619095,0.7677546857069998
TCR7,0.7723300165837479,0.7746400492564175
A6,0.743349884144323,0.7600053232675182
T1,0.8811676082862524,0.8988764044943821
FLT3DY,0.7797482211275315,0.7753871335960888
A23,0.8293117408906882,0.8912676056338028
TCR2-T,0.7687088274044797,0.7548973880597015
868Z11,0.7032957286788704,0.6993386243386244
