,0,1
a3a,0.9003650137741047,0.9451058201058201
TCR81-14,0.765812257917521,0.7252816251154202
18A2,0.8381766777901373,0.8166891587944219
NYE-S1,0.7548920377867746,0.830761316872428
TCR6,0.753555615794705,0.7833040550431855
TCR7,0.7465822013235806,0.7651085568326949
A6,0.7325448697997716,0.7589285714285715
T1,0.8104099244875944,0.9668367346938775
FLT3DY,0.8095003287310979,0.7600539811066126
A23,0.8712242813366409,0.8144444444444444
TCR2-T,0.7252436647173489,0.7435300207039338
868Z11,0.7309954337899544,0.7632575757575758
