,0,1,2,3
a3a,0.7897867625690206,0.8946274878967188,0.9075638138138138,0.8920800264550265
TCR81-14,0.7195981091087109,0.7126954677975087,0.7292516301467709,0.7436427089228447
18A2,0.7734515765765767,0.8203898328427068,0.843172384085213,0.8771526136065143
NYE-S1,0.676755628868305,0.719350296483491,0.7144740894740895,0.7499789562289564
TCR6,0.7250320173114292,0.750274554156832,0.7538123121727546,0.7664678299148298
TCR7,0.7388204868724348,0.8127434791670006,0.8070523531049846,0.804412948754381
A6,0.7369402550854162,0.7385750940517676,0.7931099907844095,0.7597142597142597
T1,0.8351010101010101,0.8465099715099714,0.8437878787878788,0.8335588023088022
FLT3DY,0.634384518370455,0.6792592592592593,0.728653034728984,0.6933694530443756
A23,0.8062118611746758,0.8508594609460945,0.8752254689754689,0.8716666666666666
TCR2-T,0.7279082937879586,0.7463924963924965,0.7241654483430798,0.721309111880046
868Z11,0.7746352760276028,0.7641902257286873,0.7331632653061225,0.802676563202879
