,0,1
a3a,0.8746422101449275,0.8613772744870305
TCR81-14,0.6781302681992338,0.7020712614786887
18A2,0.8123223729179406,0.8496454831932773
NYE-S1,0.7401236640367075,0.7346614679463516
TCR6,0.7104511426319937,0.7333659172368848
TCR7,0.7893885281385281,0.7960828287358899
A6,0.7480949849370901,0.7708586626139818
T1,0.8664327485380117,0.8542625465702388
FLT3DY,0.7462722462722463,0.7594086021505376
A23,0.8179219600725952,0.8184333139196273
TCR2-T,0.6825540472599295,0.6713438735177867
868Z11,0.7263730219175764,0.7276234567901234
