,0,1
a3a,0.8243664717348929,0.879794313369631
TCR81-14,0.7342517006802721,0.752635046113307
18A2,0.8310284433235253,0.8189814814814816
NYE-S1,0.7492882338120435,0.8420740740740742
TCR6,0.7696363160648875,0.8076587301587302
TCR7,0.7584523809523809,0.79811753902663
A6,0.7658806818181817,0.8615181115181115
T1,0.9019607843137255,0.8837448559670782
FLT3DY,0.7588007230864374,0.8032356532356534
A23,0.8467745638200183,0.8557624113475177
TCR2-T,0.642958089668616,0.725389194139194
868Z11,0.6901585733107471,0.7500797448165869
