"","18A2","NYE-S1","868Z11","TCR3","TCR6","TCR7","A6","A23","TCR2-T"
"0",0.561555717275075,0.452681488395774,0.532017363019974,0.569074667543175,0.564760114572145,0.506329949080974,0.486087758628742,0.701315789473684,0.494193556891279
"1",0.575779239766082,0.481584222356414,0.55490299029903,0.637815851103168,0.58310636217613,0.601257062146893,0.478471266815164,0.560858092082632,0.481260223005506
"2",0.637844987844988,0.552007992007992,0.527870183691756,0.679034584532566,0.627420885291639,0.579858256396433,0.494607843137255,0.641658093278464,0.493252856698235
"3",0.63252086078173,0.580475983796296,0.571346700245383,0.669157340355497,0.600601160862355,0.624110918877355,0.482731613005051,0.631171218487395,0.554126544431254
"4",0.635057773109244,0.62030208174276,0.559929612870789,0.663686326806894,0.642872966643458,0.64311835106383,0.508111111111111,0.648510882016037,0.590834921260705
"5",0.674761099240266,0.60086926961927,0.533948980794156,0.67858724885303,0.652878689428397,0.664254148629149,0.475494264903132,0.646607360893075,0.653478497322624
"6",0.696115250869349,0.617534036012297,0.573573573573574,0.695256916996048,0.676289308176101,0.637929956222639,0.536273724233283,0.610634157509158,0.639072591561279
"7",0.729308014506136,0.607567329066273,0.623677248677249,0.670171914074353,0.662001114827202,0.63547514619883,0.537977241636612,0.62170584045584,0.677776505901506
"8",0.732789269553975,0.655914918414918,0.62003171771236,0.680023300438596,0.691759173604687,0.631966873706004,0.594951504434263,0.632949210413999,0.714358357988166
"9",0.750671296296296,0.688770933014354,0.660493827160494,0.68576875836404,0.68409706824341,0.674459527400704,0.586161387631976,0.638269230769231,0.744448798328109
