"","18A2","NYE-S1","868Z11","TCR3","TCR6","TCR7","A6","T1","FLT3DY","A23","TCR2-T"
"0",0.651521555367709,0.662972972972973,0.495127748068925,0.568470877051386,0.655304474955505,0.5731349376624,0.533385241133044,0.892857142857143,0.577320772058823,0.47519261822376,0.621797181797182
"1",0.673876423876424,0.681928485679986,0.520598138245197,0.582544541560935,0.639417826917827,0.668012265512266,0.615336728919072,0.685140467171717,0.663825013102725,0.576210901027078,0.704815641534391
"2",0.66586778301064,0.720330449311232,0.532601086469534,0.592305355670136,0.661244053331155,0.680544161881323,0.647958813154892,0.692344173441734,0.750667211328976,0.603524695560094,0.717701099537037
"3",0.71650654468561,0.723170194003527,0.60697409231892,0.681564789377289,0.692061865729898,0.699901362298903,0.678367783321454,0.69780701754386,0.778854809670782,0.69454739442947,0.682614450961225
"4",0.739994383169935,0.730442125428514,0.646899768385712,0.696868379847103,0.686540178571429,0.717786596119929,0.672632204959791,0.691666666666667,0.831083937198068,0.702484519448805,0.74500484496124
"5",0.784347309338909,0.730366591080877,0.679450549450549,0.692696797711333,0.730341977197323,0.698563538475819,0.675599358974359,0.702978235967927,0.820404704944179,0.732060185185185,0.699080165692008
"6",0.754343359631821,0.715519023986766,0.677287581699346,0.702954612437371,0.720788791707159,0.735992275698158,0.691401515151515,0.717361111111111,0.828350165367352,0.748456790123457,0.711422240128928
"7",0.762413974257946,0.706562818364061,0.682095616024187,0.721079434697856,0.761451863354037,0.684513605442177,0.657620614035088,0.682430555555556,0.817199248120301,0.749571885935522,0.737644783893035
"8",0.811086956521739,0.74074155011655,0.720597790773229,0.695564892623716,0.785848913208694,0.719721844806763,0.640415668529855,0.696557120500782,0.83329307568438,0.733403688627569,0.756388888888889
"9",0.83679593721145,0.748253384068367,0.771357442348008,0.701333512931034,0.797020793114543,0.712389770723104,0.639632936507937,0.708097127739985,0.829695767195767,0.686701388888889,0.749300699300699
