"","al_round","tcr","auc","al_type"
"136","4","a3a",0.852117106375011,"Even steps random"
"137","5","a3a",0.868316399067533,"Even steps random"
"138","6","a3a",0.870210746975557,"Even steps random"
"139","7","a3a",0.872566971848874,"Even steps random"
"140","8","a3a",0.875922624235124,"Even steps random"
"141","9","a3a",0.875726026715311,"Even steps random"
"142","10","a3a",0.878856735238856,"Even steps random"
"143","1","TCR81-14",0.738014474776342,"Even steps random"
"144","2","TCR81-14",0.714516943322697,"Even steps random"
"145","3","TCR81-14",0.716082673216553,"Even steps random"
"146","4","TCR81-14",0.719580830591881,"Even steps random"
"147","5","TCR81-14",0.725116680314194,"Even steps random"
"148","6","TCR81-14",0.726754045431874,"Even steps random"
"149","7","TCR81-14",0.726022740090908,"Even steps random"
"150","8","TCR81-14",0.728811266921466,"Even steps random"
"151","9","TCR81-14",0.727931010887931,"Even steps random"
"152","10","TCR81-14",0.732037274295707,"Even steps random"
"153","1","18A2",0.80457715921414,"Even steps random"
"154","2","18A2",0.816605840785348,"Even steps random"
"155","3","18A2",0.835581548063831,"Even steps random"
"156","4","18A2",0.841491628676761,"Even steps random"
"157","5","18A2",0.850497998163365,"Even steps random"
"158","6","18A2",0.851076671102158,"Even steps random"
"159","7","18A2",0.861098001104191,"Even steps random"
"160","8","18A2",0.864791465151448,"Even steps random"
"161","9","18A2",0.867314838404161,"Even steps random"
"162","10","18A2",0.868482508541161,"Even steps random"
"163","1","NYE-S1",0.684697548189946,"Even steps random"
"164","2","NYE-S1",0.699018617116656,"Even steps random"
"165","3","NYE-S1",0.737288556011557,"Even steps random"
"166","4","NYE-S1",0.746666434947192,"Even steps random"
"167","5","NYE-S1",0.774521721767109,"Even steps random"
"168","6","NYE-S1",0.781018561558509,"Even steps random"
"169","7","NYE-S1",0.788974357844435,"Even steps random"
"170","8","NYE-S1",0.793238678321967,"Even steps random"
"171","9","NYE-S1",0.802301610023137,"Even steps random"
"172","10","NYE-S1",0.804309362284877,"Even steps random"
"173","1","TCR6",0.703967585651675,"Even steps random"
"174","2","TCR6",0.736617797689898,"Even steps random"
"175","3","TCR6",0.755095787421745,"Even steps random"
"176","4","TCR6",0.758473188244718,"Even steps random"
"177","5","TCR6",0.763791904181884,"Even steps random"
"178","6","TCR6",0.766589230562603,"Even steps random"
"179","7","TCR6",0.773478773081575,"Even steps random"
"180","8","TCR6",0.774285356660716,"Even steps random"
"181","9","TCR6",0.782971475971314,"Even steps random"
"182","10","TCR6",0.785800522106342,"Even steps random"
"183","1","TCR7",0.787500643695712,"Even steps random"
"184","2","TCR7",0.770499089364043,"Even steps random"
"185","3","TCR7",0.780535087819515,"Even steps random"
"186","4","TCR7",0.786877847004799,"Even steps random"
"187","5","TCR7",0.793351606289401,"Even steps random"
"188","6","TCR7",0.793677029241451,"Even steps random"
"189","7","TCR7",0.801553037972808,"Even steps random"
"190","8","TCR7",0.804748825109818,"Even steps random"
"191","9","TCR7",0.810250103656686,"Even steps random"
"192","10","TCR7",0.809658840479842,"Even steps random"
"193","1","A6",0.765631284655813,"Even steps random"
"194","2","A6",0.750479214019778,"Even steps random"
"195","3","A6",0.756255656668927,"Even steps random"
"196","4","A6",0.763386651740047,"Even steps random"
"197","5","A6",0.77207838599206,"Even steps random"
"198","6","A6",0.777304639968379,"Even steps random"
"199","7","A6",0.793668868426646,"Even steps random"
"200","8","A6",0.798164859559471,"Even steps random"
"201","9","A6",0.809267501463221,"Even steps random"
"202","10","A6",0.808655614814681,"Even steps random"
"203","1","T1",0.83830866516284,"Even steps random"
"204","2","T1",0.834360496488011,"Even steps random"
"205","3","T1",0.831376663671119,"Even steps random"
"206","4","T1",0.830025911535331,"Even steps random"
"207","5","T1",0.831958888657812,"Even steps random"
"208","6","T1",0.82969797183206,"Even steps random"
"209","7","T1",0.831245846347108,"Even steps random"
"210","8","T1",0.833081370980171,"Even steps random"
"211","9","T1",0.828432475745138,"Even steps random"
"212","10","T1",0.826117277689289,"Even steps random"
"213","1","FLT3DY",0.4763457751973,"Even steps random"
"214","2","FLT3DY",0.599219181647589,"Even steps random"
"215","3","FLT3DY",0.650013111425348,"Even steps random"
"216","4","FLT3DY",0.704175864469352,"Even steps random"
"217","5","FLT3DY",0.728699889919859,"Even steps random"
"218","6","FLT3DY",0.748464187749032,"Even steps random"
"219","7","FLT3DY",0.758643596252346,"Even steps random"
"220","8","FLT3DY",0.768390124685108,"Even steps random"
"221","9","FLT3DY",0.785359899278256,"Even steps random"
"222","10","FLT3DY",0.788423599699212,"Even steps random"
"223","1","A23",0.718708274809746,"Even steps random"
"224","2","A23",0.789317221925385,"Even steps random"
"225","3","A23",0.823157804094003,"Even steps random"
"226","4","A23",0.831796470568704,"Even steps random"
"227","5","A23",0.839352293289196,"Even steps random"
"228","6","A23",0.840927539665741,"Even steps random"
"229","7","A23",0.841383847532082,"Even steps random"
"230","8","A23",0.842882133299663,"Even steps random"
"231","9","A23",0.83943938531717,"Even steps random"
"232","10","A23",0.84000053323171,"Even steps random"
"233","1","TCR2-T",0.647161730342364,"Even steps random"
"234","2","TCR2-T",0.692226758300297,"Even steps random"
"235","3","TCR2-T",0.702501126326101,"Even steps random"
"236","4","TCR2-T",0.710558184755399,"Even steps random"
"237","5","TCR2-T",0.718074614203396,"Even steps random"
"238","6","TCR2-T",0.722433139050608,"Even steps random"
"239","7","TCR2-T",0.731033302405899,"Even steps random"
"240","8","TCR2-T",0.730847322855859,"Even steps random"
"241","9","TCR2-T",0.731771420229786,"Even steps random"
"242","10","TCR2-T",0.735329052551853,"Even steps random"
"243","1","868Z11",0.740489236519289,"Even steps random"
"244","2","868Z11",0.725831377385303,"Even steps random"
"245","3","868Z11",0.74334628035374,"Even steps random"
"246","4","868Z11",0.745531672646688,"Even steps random"
"247","5","868Z11",0.763485978431074,"Even steps random"
"248","6","868Z11",0.76375291584573,"Even steps random"
"249","7","868Z11",0.769260396166775,"Even steps random"
"250","8","868Z11",0.766762315325062,"Even steps random"
"251","9","868Z11",0.77357614888412,"Even steps random"
"252","10","868Z11",0.768459805698819,"Even steps random"
"253","Within TCR","a3a",0.903194161805273,"No AL"
"254","Within TCR","TCR81-14",0.789430754430754,"No AL"
"255","Within TCR","18A2",0.851646546922863,"No AL"
"256","Within TCR","NYE-S1",0.826858326858327,"No AL"
"257","Within TCR","TCR6",0.809142692914623,"No AL"
"258","Within TCR","TCR7",0.823829293159437,"No AL"
"259","Within TCR","A6",0.822364198487193,"No AL"
"260","Within TCR","T1",0.865372218931729,"No AL"
"261","Within TCR","FLT3DY",0.85055769877776,"No AL"
"262","Within TCR","A23",0.840784060554175,"No AL"
"263","Within TCR","TCR2-T",0.79045585815151,"No AL"
"264","Within TCR","868Z11",0.812793019254485,"No AL"
"265","1","a3a",0.833931174229306,"All random"
"266","2","a3a",0.845368423536193,"All random"
"267","3","a3a",0.845880662515987,"All random"
"268","4","a3a",0.846112991184683,"All random"
"269","5","a3a",0.844759649258399,"All random"
"270","6","a3a",0.842506900764714,"All random"
"271","7","a3a",0.845207546089837,"All random"
"272","8","a3a",0.848703300625354,"All random"
"273","9","a3a",0.851671762892339,"All random"
"274","10","a3a",0.853292699551203,"All random"
"275","1","TCR81-14",0.708894624158757,"All random"
"276","2","TCR81-14",0.717660842595061,"All random"
"277","3","TCR81-14",0.722208008443337,"All random"
"278","4","TCR81-14",0.726861057371053,"All random"
"279","5","TCR81-14",0.730523350054497,"All random"
"280","6","TCR81-14",0.733266526179089,"All random"
"281","7","TCR81-14",0.73859972988743,"All random"
"282","8","TCR81-14",0.739065292531528,"All random"
"283","9","TCR81-14",0.740611620550132,"All random"
"284","10","TCR81-14",0.740870872973463,"All random"
"285","1","18A2",0.809148607603139,"All random"
"286","2","18A2",0.822571872724694,"All random"
"287","3","18A2",0.826704520383261,"All random"
"288","4","18A2",0.831381557037275,"All random"
"289","5","18A2",0.837044408885778,"All random"
"290","6","18A2",0.842593903057233,"All random"
"291","7","18A2",0.84566141276612,"All random"
"292","8","18A2",0.847772934245476,"All random"
"293","9","18A2",0.848959506030078,"All random"
"294","10","18A2",0.850799043787504,"All random"
"295","1","NYE-S1",0.704058657330471,"All random"
"296","2","NYE-S1",0.72173928042103,"All random"
"297","3","NYE-S1",0.735998478010656,"All random"
"298","4","NYE-S1",0.757286542860217,"All random"
"299","5","NYE-S1",0.768858578454518,"All random"
"300","6","NYE-S1",0.773110241128182,"All random"
