,a3a,TCR81-14,18A2,NYE-S1,TCR6,TCR7,A6,T1,FLT3DY,A23,TCR2-T,868Z11
0,0.5740500126869131,0.6141854912764003,0.7991982947857347,0.6258759481085936,0.569985596707819,0.7078264208909371,0.7161864061864063,0.7553877406818583,0.6183066361556064,0.8465691788526435,0.6241282217890406,0.7926104241893716
1,0.8517312364147808,0.7534591194968554,0.838126725544929,0.6947839831401476,0.7177798740298741,0.7786302175191063,0.775690820683112,0.8395089285714287,0.4795603089720737,0.7264866602378657,0.6730428134556575,0.7398474629329236
2,0.8811730072463768,0.7432251653097887,0.8288269778654396,0.6590764224369297,0.7631205673758865,0.7872788369733859,0.7586264831294031,0.8343434343434343,0.5619293974437005,0.7759916094584286,0.6558376898182724,0.7511615609992891
3,0.8538850675110092,0.7301495620710098,0.838493875480177,0.6748369987500422,0.7657108721624851,0.7884486405613166,0.7540643725389488,0.8351400180668472,0.7385708812260537,0.8468489536487378,0.6979343680374609,0.7834807256235828
4,0.8639636638237383,0.7369580173793393,0.8382179280730006,0.7594671201814059,0.7694021206451037,0.7753645047762694,0.7930768127522692,0.8379142300194932,0.7325274869601112,0.8364295494149863,0.6973212056358123,0.7927234299516908
5,0.8666960611405056,0.726723690323286,0.8561643457117597,0.7690639515211172,0.7669223872689854,0.781485356999832,0.8267949023581064,0.8344938604372567,0.7685789748123965,0.8429964133089133,0.7263925266282522,0.7740850970017638
6,0.8688101352508132,0.7297203434219216,0.8440358422939068,0.7635173754000913,0.7746699426699427,0.8024975800193598,0.8286204726910648,0.8435131195335277,0.7854660068339814,0.8422066439307819,0.7077433844351138,0.7665617211071757
7,0.8639481774264383,0.7453508771929824,0.8399849260833244,0.7647207864599169,0.7965933848286788,0.826018227803942,0.78315503875969,0.8227317554240631,0.7582251082251082,0.8294070512820513,0.7021517891783806,0.7625661375661377
8,0.8851034482758622,0.7621742112482853,0.8436965811965811,0.7740530303030302,0.7961546985815602,0.8277309161106216,0.8270666060697874,0.8204902945113788,0.7902233115468409,0.8256172839506174,0.7143190298507464,0.8053081421502474
9,0.8829809566651673,0.7750582750582752,0.8682577454273983,0.7714226633581472,0.7964820336736845,0.814968623108158,0.8445790080738179,0.7888755980861245,0.786261047979798,0.826025641025641,0.7300000000000001,0.7953216374269007
10,0.8824074074074074,0.770686680469289,0.8561056998556998,0.7914260414260413,0.8095655806182123,0.8191397849462366,0.8354079488673483,0.7824346405228758,0.7798076923076923,0.8208045977011494,0.7441920164292132,0.7926388888888889
