"","tcr","AUC"
"1","a3a",0.896707818930041
"2","TIL1383I",0.600747863247863
"3","TCR81-14",0.771853146853147
"4","18A2",0.827083333333333
"5","NYE-S1",0.756828703703704
"6","TCR6",0.855555555555556
"7","TCR7",0.741959064327485
"8","A6",0.661210317460317
"9","T1",0.990196078431373
"10","FLT3DY",0.693865740740741
"11","A23",0.693827160493827
"12","TCR2-T",0.797008547008547
"13","R24",0.786195286195286
"14","868Z11",0.732204861111111
"15","TCR-1E6",0.711666666666667
"16","APN-TCR",0.67201278659612
"17","EWW-TCR",0.790486029122393
"18","A11Va",0.744912358882947
"19","TCR-F5",0.862293666215235
"20","TCR-3598-2",0.788293087121212
"21","MBP-TCR",0.854540598290598
"22","B3K508",0.599074074074074
