"","tcr","AUC"
"1","a3a",0.841636141636142
"2","TIL1383I",0.80031746031746
"3","TCR81-14",0.763461538461538
"4","18A2",0.724426807760141
"5","NYE-S1",0.753314393939394
"6","TCR6",0.681725681725682
"7","TCR7",0.715362811791383
"8","A6",0.768113830613831
"9","T1",0.588383838383838
"10","FLT3DY",0.782246376811594
"11","A23",0.705982905982906
"12","TCR2-T",0.699603174603175
"13","R24",0.841540404040404
"14","868Z11",0.765625
"15","TCR-1E6",0.720271274619101
"16","APN-TCR",0.66762360446571
"17","EWW-TCR",0.774158249158249
"18","A11Va",0.778529163144548
"19","TCR-F5",0.883707377893424
"20","TCR-3598-2",0.841980894922071
"21","MBP-TCR",0.902136752136752
"22","B3K508",0.72716049382716
