"","tcr","AUC"
"1","a3a",0.873816872427984
"2","TIL1383I",0.672863247863248
"3","TCR81-14",0.718142968142968
"4","18A2",0.764351851851852
"5","NYE-S1",0.801157407407407
"6","TCR6",0.760416666666667
"7","TCR7",0.762914230019493
"8","A6",0.668402777777778
"9","T1",0.970588235294118
"10","FLT3DY",0.6640625
"11","A23",0.697376543209877
"12","TCR2-T",0.850694444444444
"13","R24",0.788720538720539
"14","868Z11",0.661892361111111
"15","TCR-1E6",0.918888888888889
"16","APN-TCR",0.739748677248677
"17","EWW-TCR",0.805243998425817
"18","A11Va",0.813688354129531
"19","TCR-F5",0.868245696677069
"20","TCR-3598-2",0.767706360479798
"21","MBP-TCR",0.873290598290598
"22","B3K508",0.82037037037037
