"","tcr","AUC"
"1","a3a",0.822134038800705
"2","TIL1383I",0.614166666666667
"3","TCR81-14",0.633417508417508
"4","18A2",0.744464285714286
"5","NYE-S1",0.738531650641026
"6","TCR6",0.798611111111111
"7","TCR7",0.770144628099174
"8","A6",0.736990950226244
"9","T1",0.741039426523297
"10","FLT3DY",0.794367283950617
"11","A23",0.660057471264368
"12","TCR2-T",0.792467948717949
"13","R24",0.841961279461279
"14","868Z11",0.603954081632653
"15","TCR-1E6",0.686494252873563
"16","APN-TCR",0.701025641025641
"17","EWW-TCR",0.916666666666667
"18","A11Va",0.724173553719008
"19","TCR-F5",0.787143465304385
"20","TCR-3598-2",0.781980056980057
"21","MBP-TCR",0.855596405228758
"22","B3K508",0.794507575757576
